step,system_mean_speed,0_average_speed,0_queue_length
161.0,"(5.128568210805484,)",0.24359181809295255,13
162.0,"(4.6904722305955096,)",0.22889522077681554,9
163.0,"(4.344738036387089,)",0.2099974628232455,8
164.0,"(4.112026665696559,)",0.20512925893254919,9
165.0,"(4.155144072621323,)",0.2091948037627309,11
166.0,"(4.776220826703803,)",0.2473234338774001,8
167.0,"(5.041752185831313,)",0.25245426678256655,9
168.0,"(5.456397980300763,)",0.2724873444920231,10
169.0,"(5.315808621639876,)",0.2631198370485719,11
171.0,"(6.45468671531965,)",0.3165679826186402,10
172.0,"(7.2963897080766875,)",0.35488115086032435,10
173.0,"(8.15918543989927,)",0.3842669047272005,10
174.0,"(8.822785080182703,)",0.41604763494455,11
175.0,"(9.280545825138592,)",0.4373132657141286,11
176.0,"(9.424086440982778,)",0.4303650525983701,11
177.0,"(8.156187784993342,)",0.3725373913466876,15
178.0,"(8.102627282928632,)",0.3681615273190185,11
179.0,"(7.738607578135743,)",0.35014963568385293,11
181.0,"(6.317831437822129,)",0.2848265351318904,13
182.0,"(5.717492643073648,)",0.26829498969445503,10
183.0,"(6.240502236692609,)",0.29668082932269785,8
184.0,"(6.697286394938903,)",0.3198496863714568,8
185.0,"(7.206368378830478,)",0.3279782819194102,8
186.0,"(7.876027114913857,)",0.3687564800168916,8
187.0,"(8.03894164592399,)",0.37852163491292323,9
188.0,"(8.509668356741871,)",0.3975645087138712,9
189.0,"(9.084229615453868,)",0.4230784797438628,10
191.0,"(9.399356842314575,)",0.4498087310964665,10
192.0,"(9.129911180887225,)",0.416425437303963,11
193.0,"(7.6101652160330255,)",0.3537248307594412,15
194.0,"(7.507890155876067,)",0.3490712619858809,11
195.0,"(7.336517218962343,)",0.3581826387647129,11
196.0,"(7.108122707749225,)",0.34782940888388375,12
197.0,"(6.942190143624931,)",0.31209106115657015,12
198.0,"(6.860594392005512,)",0.30894672950322744,12
199.0,"(6.907664209282751,)",0.31124319923035576,12
201.0,"(5.258838447076664,)",0.2343811019034353,16
202.0,"(5.441901574783316,)",0.24383652382758209,14
203.0,"(5.382909855911888,)",0.24410799262834634,14
204.0,"(5.8919946034912325,)",0.2713695642184867,12
205.0,"(5.7376034461249965,)",0.2629853322536565,10
206.0,"(6.157943383000098,)",0.29055859666610145,9
207.0,"(6.733768559500703,)",0.2999633865035454,10
208.0,"(6.6505411108210115,)",0.3098376650783992,10
209.0,"(6.216828387187282,)",0.29219250541109026,15
211.0,"(6.805258182156841,)",0.3258545850367695,11
212.0,"(6.999525976335815,)",0.33703575439703964,11
213.0,"(6.650970752363004,)",0.3164144394689303,15
214.0,"(6.134224711987642,)",0.28238137655384515,11
215.0,"(6.163846558546179,)",0.28053490133654385,11
216.0,"(6.171701525192193,)",0.2836698488137775,11
217.0,"(6.00293633773461,)",0.2632173350679316,12
218.0,"(5.949681167791157,)",0.26309823163102364,13
219.0,"(6.581574492031463,)",0.29375137600775547,14
221.0,"(5.266499186540583,)",0.23575809366463377,18
222.0,"(5.666290352120971,)",0.25674411040222267,11
223.0,"(5.818893416926729,)",0.27038091691087224,8
224.0,"(6.563446001924764,)",0.309418085954262,7
225.0,"(6.340270874868722,)",0.3004967113313267,11
226.0,"(6.915040275392828,)",0.3469627263884198,7
227.0,"(7.264383804801108,)",0.34913593058404635,7
228.0,"(7.850427043003115,)",0.3738918435343557,7
229.0,"(8.526057347958599,)",0.3914332322519409,7
231.0,"(9.969668992028826,)",0.4622931726319762,7
232.0,"(10.573025774790578,)",0.4900661727853412,7
233.0,"(10.971865762771042,)",0.49441103115026114,7
234.0,"(11.19609490405898,)",0.501322748284888,7
235.0,"(11.206543132668461,)",0.500049208500333,8
236.0,"(10.230291916133035,)",0.45899945218849497,10
237.0,"(9.605897471566083,)",0.42255084381907076,10
238.0,"(8.297979846530035,)",0.36758657326557737,7
239.0,"(8.503170776608263,)",0.37765461043625437,5
241.0,"(6.870192839011439,)",0.3147545625292952,9
242.0,"(6.754447232050413,)",0.31053370098434413,5
243.0,"(7.272405053583712,)",0.3363635551826247,5
244.0,"(6.9409081779322666,)",0.3272886470138545,8
245.0,"(6.30273956796159,)",0.2989604098196474,9
246.0,"(6.63200917803274,)",0.31786022563032773,6
247.0,"(6.379294689857719,)",0.2967493717218043,7
248.0,"(6.552605610927937,)",0.3127365555686718,7
249.0,"(6.3729982472326805,)",0.3049673012997109,10
251.0,"(7.4514957192612465,)",0.35225018949081915,7
252.0,"(8.761545336992864,)",0.4125836983167689,8
253.0,"(9.852511036381623,)",0.46268620703715685,8
254.0,"(10.675304367795043,)",0.49283108374040097,8
255.0,"(11.446801636753655,)",0.5286957857105894,8
256.0,"(11.795385796958433,)",0.5437792957124707,5
257.0,"(10.60170486272297,)",0.4886496461151495,7
258.0,"(10.569295581360063,)",0.48642798559640205,3
259.0,"(10.880554843015085,)",0.5002813740457751,3
261.0,"(9.862999056884847,)",0.45310716193176215,5
262.0,"(10.28284182363152,)",0.47153356585476564,3
263.0,"(10.596086656436803,)",0.48499551578899686,3
264.0,"(9.822919955033685,)",0.45306927359043286,4
265.0,"(9.420698853802485,)",0.43330212705263327,6
266.0,"(9.344761128384636,)",0.4288630171570708,6
267.0,"(8.696644270915666,)",0.4043819567253129,7
268.0,"(8.697113158064475,)",0.40654657071329375,7
269.0,"(8.50267659390809,)",0.3961429389182529,7
271.0,"(7.284174045132362,)",0.33571101100899803,7
272.0,"(6.601911320007715,)",0.3049629543709937,7
273.0,"(5.8427265461540925,)",0.2749159640406995,12
274.0,"(6.211612459270631,)",0.3028398666342133,7
275.0,"(6.674874814531759,)",0.3254176201689561,7
276.0,"(7.285943862851679,)",0.3311264380692961,8
277.0,"(7.957402576780538,)",0.3735634757650907,8
