step,system_mean_speed,0_average_speed,0_queue_length,
1,0,0,4,
2,0.762570684717006,0.0354076261654629,0,
3,2.41942702495994,0.112338410170221,0,
4,3.34697782422296,0.154338756866289,2,
5,3.50147437810648,0.161610367524569,3,
6,5.09886782246971,0.237163587278902,0,
7,6.55304984247909,0.307880851543145,1,
8,7.92417333699786,0.37515729375237,1,
9,7.80005654031527,0.370405624787794,3,
10,8.40216606198021,0.398837281461388,2,1
11,9.64862443751978,0.45812036924938,1,
12,11.5523020577454,0.547596475581718,0,
13,11.898210755556,0.563329804554772,2,
14,11.9913661423502,0.567473536877872,2,
15,12.4401252849588,0.588429011519508,1,
16,12.3738771403549,0.585578507053374,1,
17,11.7109771748846,0.554479884113461,2,
18,11.3927010891682,0.53721612325614,1,
19,11.1087206971049,0.523743918512514,2,
20,11.0525808685002,0.518721439216827,0,1
21,10.665169709826,0.499148084407509,1,
22,10.6270615709242,0.49662294536497,1,
23,9.76516333747766,0.456541151156635,2,
24,9.18526079128827,0.430672836241361,3,
25,8.95387058150461,0.421339629719554,2,
26,8.85811288695496,0.418448040002267,3,
27,8.79273307332836,0.416305525019157,3,
28,8.49710376566635,0.402393096975336,3,
29,8.0808324011963,0.379361699658367,5,
30,7.88315011581114,0.369613531394725,8,6
31,7.92066130122162,0.372547990761243,6,
32,7.68358730076316,0.369193993192267,5,
33,7.95994271799561,0.388885314873507,5,
34,7.89127548732056,0.380565196490891,6,
35,8.28221525302499,0.381763550403704,5,
36,8.24314794507462,0.388210538314246,9,
37,8.61346905301382,0.405389664593787,7,
38,8.70112153207776,0.409386679793314,8,
39,8.75349731120626,0.412082223868867,8,
40,8.2750907972221,0.380001521089353,8,8
41,7.90164049000436,0.37851716322935,8,
42,7.75767926567946,0.370808524855649,10,
43,8.04672276090696,0.384625760945104,10,
44,8.18105036808634,0.377533754584186,12,
45,8.315206097697,0.393243250911462,12,
46,8.58450586024297,0.406068262361418,11,
47,8.48773359596349,0.397829751398979,12,
48,8.44214765554078,0.398610339672243,13,
49,7.93126522814666,0.365686619370641,15,
50,7.68009488486721,0.354222696556536,14,14
51,7.35617633737097,0.338557354555168,14,
52,6.7394487143908,0.308804341574426,15,
53,6.67087967434653,0.305958045729619,15,
54,6.69456242994011,0.30770983457986,16,
55,6.60132488073115,0.306751630997367,15,
56,6.49881910602274,0.309942758782284,14,
57,6.25387180679898,0.301947540266362,16,
58,6.07273569832166,0.280619670751676,16,
59,6.16995407729394,0.294986784693183,16,
60,6.25242795328097,0.300628803188702,16,21
61,5.56138360738678,0.267595702730249,21,
62,5.03576672104409,0.237010505400915,17,
63,4.98390043463244,0.24091180364703,19,
64,5.01849120754925,0.242201558203761,20,
65,5.10014341817106,0.24534957023638,20,
66,5.04123490585759,0.240567067909206,21,
67,4.69932748037292,0.219053707112146,19,
68,4.86596988044182,0.22498764150229,21,
69,4.90856398685669,0.225340795394492,20,
70,4.60471870478934,0.214400632886989,20,20
