step,system_mean_speed,0_average_speed,0_queue_length
10.0,"(8.402166061980209,)",0.39883728146138847,2
20.0,"(11.052580868500225,)",0.5187214392168266,0
30.0,"(7.8831501158111354,)",0.3696135313947252,8
40.0,"(8.275090797222097,)",0.3800015210893533,8
50.0,"(7.680094884867206,)",0.3542226965565358,14
60.0,"(6.252427953280974,)",0.3006288031887019,16
70.0,"(4.604718704789339,)",0.21440063288698935,20
80.0,"(6.954792251739543,)",0.3214662808261425,15
90.0,"(4.869230565988528,)",0.2391236106546596,19
100.0,"(6.111844576894165,)",0.2966201563602777,13
110.0,"(8.385215377638579,)",0.3970258850806528,13
120.0,"(4.682372090782848,)",0.21484453311485555,17
130.0,"(6.785538378524479,)",0.31734029464204627,11
140.0,"(7.772774600981114,)",0.37170324581096054,13
150.0,"(7.168216311399635,)",0.3345425588533739,10
160.0,"(5.898691439671605,)",0.2736544887950724,10
170.0,"(6.029808759189336,)",0.3048376931659089,10
180.0,"(7.154204591825308,)",0.3238025262865266,11
190.0,"(9.199822893571437,)",0.43955023722199876,10
200.0,"(6.080254848455222,)",0.27455984042816906,12
210.0,"(6.665394164162943,)",0.31430067853445565,11
220.0,"(7.124502452627523,)",0.3209783104483663,14
230.0,"(9.411324526875314,)",0.4343048647270137,7
240.0,"(7.956855090073706,)",0.3629030923723878,5
250.0,"(6.132704929737737,)",0.29070140262972055,9
260.0,"(10.36013337590854,)",0.4751379387088902,5
270.0,"(7.784253139679825,)",0.3608355023688068,7
280.0,"(9.302040989903253,)",0.44305577194376394,9
290.0,"(6.306897694407398,)",0.3036494666508194,9
300.0,"(8.012138809982728,)",0.3745411357659098,9
310.0,"(8.734077505666278,)",0.4398775038828472,5
320.0,"(9.329370431941152,)",0.45105458045783303,5
330.0,"(8.130263124456299,)",0.3653052196342844,5
340.0,"(10.015507552208316,)",0.4629425573148005,5
350.0,"(9.223772076268054,)",0.41559476005913887,5
360.0,"(8.532128348502185,)",0.3762623467887985,7
370.0,"(8.308930714106605,)",0.4004282297746041,6
380.0,"(9.411539066851487,)",0.44533982290683893,5
390.0,"(6.927424430162559,)",0.32458189587499314,9
400.0,"(8.612259245078153,)",0.4309644992833807,7
410.0,"(6.686542505490949,)",0.3263491076569984,9
420.0,"(9.01407783610848,)",0.4417843937358563,5
430.0,"(9.096567047983225,)",0.4298155107778939,7
440.0,"(9.211340492838186,)",0.4320667110601483,6
450.0,"(5.488503422508944,)",0.2692026318273713,8
460.0,"(8.390262027078233,)",0.3852343318093619,11
470.0,"(7.103448313480801,)",0.34310300397789345,7
480.0,"(7.16003815611825,)",0.3125323585425097,10
490.0,"(6.3925656153967445,)",0.2906401057954739,11
500.0,"(9.728990215577735,)",0.44297650821645906,4
510.0,"(8.437663923101947,)",0.3871288694669687,8
520.0,"(7.042183762673527,)",0.33373225221605773,8
530.0,"(6.566151943083704,)",0.3156277794111981,8
540.0,"(9.850285758255335,)",0.4491607972843238,9
550.0,"(9.113292797051342,)",0.41691236850520497,5
560.0,"(8.731176823785798,)",0.44144689724227526,4
570.0,"(6.863729043151852,)",0.3328587629463727,8
580.0,"(8.931829713962989,)",0.43663617939792865,6
590.0,"(7.715950393217719,)",0.34517030590438114,10
600.0,"(7.301200928573116,)",0.36472168224300644,7
610.0,"(7.850995091225841,)",0.40127567547166426,5
620.0,"(11.017225254084048,)",0.5143380165457594,7
630.0,"(8.224374058956396,)",0.38223299048426385,8
640.0,"(6.81527108410607,)",0.288814353195284,6
650.0,"(9.0371288754689,)",0.3984249921638145,8
660.0,"(9.348260320249732,)",0.45206439774235413,5
670.0,"(8.783460790662804,)",0.4074484920069877,11
680.0,"(7.994399090569328,)",0.3811802919523109,9
690.0,"(5.410357494203866,)",0.25593610103717396,9
