step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,0_queue_length,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0
5.0,3,0.0,0.0,3.609455344193827,3,0.0,0.16681775081903286,3,3,0.0
10.0,1,0.0,0.0,9.209389110497245,1,0.0,0.42252311637661844,1,1,0.0
15.0,0,0.0,0.0,16.39020461054191,0,0.0,0.7425151096933511,0,0,0.0
20.0,0,0.0,0.0,13.301060028882594,0,0.0,0.6142164274174589,0,0,0.0
25.0,0,0.0,0.0,11.496495609192772,0,0.0,0.5002441063533561,0,0,0.0
30.0,2,6.0,0.2727272727272727,10.668353078729739,2,6.0,0.4711153912909616,2,2,6.0
35.0,5,22.0,1.0,6.817262681371968,5,22.0,0.25946897930427854,5,5,22.0
40.0,5,31.0,1.631578947368421,7.236974634613572,5,31.0,0.2772577502684135,5,5,31.0
45.0,6,48.0,2.4,8.581366243820302,6,48.0,0.331975305273614,6,6,48.0
50.0,3,32.0,1.5238095238095237,7.152749058350883,3,32.0,0.3904993345358954,3,3,32.0
55.0,3,29.0,1.45,10.387828690827671,2,21.0,0.4197870217235472,2,2,21.0
60.0,3,31.0,1.9375,10.564859351783372,2,24.0,0.6182596164937699,2,2,24.0
65.0,5,34.0,1.619047619047619,7.8398083171012445,5,34.0,0.30579166507110744,5,5,34.0
70.0,0,0.0,0.0,9.342622394195624,0,0.0,0.5159514116748339,0,0,0.0
75.0,0,0.0,0.0,15.722561176950068,0,0.0,0.7585692442192694,0,0,0.0
80.0,1,4.0,0.25,15.049620331988637,1,4.0,0.7042378771314814,1,1,4.0
85.0,5,11.0,0.5238095238095238,7.621659119457375,5,11.0,0.2153932013824246,5,5,11.0
90.0,3,23.0,1.0952380952380953,7.857259887944274,3,23.0,0.36239495733220706,3,3,23.0
95.0,4,43.0,2.0476190476190474,12.718128511882899,4,43.0,0.5306622882664916,4,4,43.0
100.0,3,40.0,1.8181818181818181,9.295104817975595,3,40.0,0.4030863606741023,3,3,40.0
105.0,4,58.0,2.32,9.489093943483375,3,55.0,0.3700151082372112,3,3,55.0
110.0,2,6.0,0.2727272727272727,10.312012833727897,2,27.0,0.4701873193706363,2,2,27.0
115.0,4,19.0,0.8260869565217391,8.068901402858856,4,19.0,0.2947971389578527,4,4,19.0
120.0,2,17.0,0.8947368421052632,8.557547277335637,2,17.0,0.30422760160050194,2,2,17.0
125.0,6,37.0,1.6818181818181819,8.111315188894004,6,37.0,0.34020906103029647,6,6,37.0
130.0,2,17.0,0.7391304347826086,8.350604238820742,2,17.0,0.4829272762104305,2,2,17.0
135.0,2,27.0,1.2272727272727273,12.087354843078897,2,27.0,0.5776555680990008,2,2,27.0
140.0,3,21.0,1.1666666666666667,10.844689847133758,3,21.0,0.5393925099831629,3,3,21.0
145.0,7,36.0,1.565217391304348,6.76943037381629,7,36.0,0.21069106377263203,7,7,36.0
150.0,2,15.0,0.6818181818181818,9.220924813316076,2,15.0,0.4435294732775027,2,2,15.0
155.0,4,32.0,1.6842105263157894,11.798520542015643,4,32.0,0.4851156720500059,4,4,32.0
160.0,2,17.0,1.2142857142857142,10.945600234402068,2,17.0,0.5750724397031929,2,2,17.0
165.0,5,27.0,1.35,6.625074096459822,5,27.0,0.15845924538952688,5,5,27.0
170.0,1,2.0,0.1,8.130012554532907,1,2.0,0.3929931897425523,1,1,2.0
175.0,2,12.0,0.6666666666666666,14.278409544510115,2,12.0,0.6525081360734545,2,2,12.0
180.0,1,10.0,0.5555555555555556,10.878593582650684,1,10.0,0.49867395277568544,1,1,10.0
185.0,2,15.0,0.5769230769230769,9.47060975526254,2,15.0,0.4034100142577189,2,2,15.0
190.0,2,5.0,0.21739130434782608,12.360143192613135,2,5.0,0.5631163271249535,2,2,5.0
195.0,4,19.0,0.7916666666666666,9.70758674967823,4,19.0,0.4321214473563384,4,4,19.0
200.0,3,19.0,0.8636363636363636,8.683156280889989,3,19.0,0.3488264000666188,3,3,19.0
205.0,5,40.0,1.8181818181818181,8.042120599433373,5,40.0,0.29612553124423624,5,5,40.0
210.0,5,27.0,1.173913043478261,6.694263406786448,5,21.0,0.3331675958879221,5,5,21.0
215.0,5,47.0,2.1363636363636362,9.083857268169867,4,40.0,0.3409964823567015,4,4,40.0
220.0,5,38.0,2.235294117647059,8.744940251707794,4,32.0,0.46341509008419957,4,4,32.0
225.0,9,63.0,2.8636363636363638,6.857885467061854,8,52.0,0.23854244346157844,8,8,52.0
230.0,2,29.0,1.380952380952381,9.574755535787132,1,13.0,0.49350754512365214,1,1,13.0
235.0,3,22.0,1.2222222222222223,12.488441218948346,3,22.0,0.5836461988197998,3,3,22.0
240.0,1,7.0,0.5,12.255710906158642,1,7.0,0.5323927605926488,1,1,7.0
245.0,4,12.0,0.7058823529411765,6.665558783658757,4,12.0,0.22063061145361637,4,4,12.0
250.0,4,2.0,0.09090909090909091,7.136546709735516,4,2.0,0.3526490818526754,4,4,2.0
255.0,2,9.0,0.42857142857142855,14.57304414986739,2,9.0,0.6429786648977793,2,2,9.0
260.0,1,7.0,0.3181818181818182,12.168307207614243,1,7.0,0.572383080965601,1,1,7.0
265.0,1,12.0,0.46153846153846156,10.788643208397833,1,12.0,0.47454081238744816,1,1,12.0
270.0,1,5.0,0.20833333333333334,10.765837559257994,1,5.0,0.48013115869615913,1,1,5.0
275.0,5,21.0,0.9130434782608695,7.754180689124806,5,21.0,0.2527575362484256,5,5,21.0
280.0,4,30.0,1.5789473684210527,8.481905965310142,4,30.0,0.3025838977297553,4,4,30.0
285.0,5,43.0,2.263157894736842,9.109223817952234,5,43.0,0.4144270107817087,5,5,43.0
290.0,2,25.0,1.25,7.523670951822337,2,25.0,0.4232987159863673,2,2,25.0
295.0,2,17.0,0.8947368421052632,10.62786199743221,1,15.0,0.4548815476243628,1,1,15.0
300.0,3,30.0,1.875,11.331017433007318,2,23.0,0.6177075033152369,2,2,23.0
305.0,4,33.0,1.65,7.5087547900168445,4,33.0,0.2602200283486998,4,4,33.0
310.0,0,0.0,0.0,8.682981079959033,0,0.0,0.47924422462244726,0,0,0.0
315.0,1,2.0,0.10526315789473684,14.630460223902668,1,2.0,0.6805592388954639,1,1,2.0
320.0,1,4.0,0.23529411764705882,13.836579405138783,1,4.0,0.6077234367690115,1,1,4.0
325.0,5,11.0,0.5238095238095238,6.676745933127356,5,11.0,0.2068416896425209,5,5,11.0
330.0,3,22.0,1.0,8.082675931312282,3,22.0,0.34158729251235914,3,3,22.0
335.0,4,42.0,2.0,12.472732273895526,4,42.0,0.5349661786829455,4,4,42.0
340.0,3,39.0,1.7727272727272727,9.70135665323786,3,39.0,0.47629943874155894,3,3,39.0
345.0,3,54.0,2.16,9.63827714042641,3,54.0,0.4052314163234719,3,3,54.0
350.0,2,5.0,0.22727272727272727,10.434379088629562,2,5.0,0.5223490633379358,2,2,5.0
355.0,4,18.0,0.8181818181818182,8.491444777536296,4,18.0,0.30102845175549225,4,4,18.0
360.0,2,16.0,0.8888888888888888,7.8648712896283275,2,16.0,0.3248958410457181,2,2,16.0
365.0,6,37.0,1.608695652173913,8.441462382526776,6,37.0,0.3285103447862117,6,6,37.0
370.0,2,17.0,0.7391304347826086,8.017610542829173,2,17.0,0.46215433150748375,2,2,17.0
375.0,2,27.0,1.2272727272727273,11.71125036847743,2,27.0,0.5476960686907141,2,2,27.0
380.0,3,22.0,1.2222222222222223,10.669626061764733,3,22.0,0.5525971054330137,3,3,22.0
385.0,7,37.0,1.5416666666666667,7.412112881875626,7,37.0,0.27227907515451266,7,7,37.0
390.0,3,16.0,0.7272727272727273,9.13695688925924,3,16.0,0.42174708167170266,3,3,16.0
395.0,5,35.0,1.8421052631578947,11.655087792577575,5,35.0,0.434649149193584,5,5,35.0
400.0,2,19.0,1.3571428571428572,10.613942132880934,2,16.0,0.555225672823509,2,2,16.0
405.0,5,29.0,1.5263157894736843,5.911412452258234,5,26.0,0.16866384783998362,5,5,26.0
410.0,1,2.0,0.1,8.052708150503074,1,2.0,0.4165358378852471,1,1,2.0
415.0,2,11.0,0.6111111111111112,14.128494604912717,2,11.0,0.7023447028740868,2,2,11.0
420.0,1,9.0,0.5,10.185713413293774,1,9.0,0.502650871141232,1,1,9.0
425.0,2,14.0,0.5384615384615384,9.263601542436884,2,14.0,0.41799081635628116,2,2,14.0
430.0,1,3.0,0.125,12.703134342563219,1,3.0,0.5844811935445079,1,1,3.0
435.0,4,18.0,0.75,9.878064903497926,4,18.0,0.4229137660502551,4,4,18.0
440.0,2,17.0,0.7727272727272727,9.307260135657067,2,17.0,0.40258387243688226,2,2,17.0
445.0,6,37.0,1.6818181818181819,8.222689362866031,6,37.0,0.33056075591840667,6,6,37.0
450.0,4,24.0,1.0434782608695652,6.1660171357515665,4,19.0,0.3352642199261992,4,4,19.0
455.0,4,43.0,1.9545454545454546,9.187536737692254,4,38.0,0.37463323641980734,4,4,38.0
460.0,5,37.0,2.0555555555555554,9.263073235530184,4,32.0,0.46134638623016655,4,4,32.0
465.0,9,62.0,2.8181818181818183,6.479442379167953,8,52.0,0.2513131437766657,8,8,52.0
470.0,2,29.0,1.380952380952381,9.280267838525365,1,14.0,0.4884504865471162,1,1,14.0
475.0,3,23.0,1.2777777777777777,12.265819290080652,3,23.0,0.5821447042118423,3,3,23.0
480.0,1,8.0,0.5714285714285714,12.38952824199974,1,8.0,0.63586600020757,1,1,8.0
485.0,4,13.0,0.7647058823529411,6.157984497958768,4,13.0,0.18643760477598273,4,4,13.0
490.0,3,0.0,0.0,7.459413798703229,3,0.0,0.3762951047583954,3,3,0.0
495.0,1,3.0,0.14285714285714285,14.982776914120668,1,3.0,0.6988124600931285,1,1,3.0
500.0,1,8.0,0.36363636363636365,12.976682667980539,1,8.0,0.5562588650269741,1,1,8.0
505.0,1,13.0,0.52,11.047535629655483,1,13.0,0.502870222916012,1,1,13.0
510.0,3,7.0,0.30434782608695654,10.221145767840719,3,7.0,0.4420986283304797,3,3,7.0
515.0,6,26.0,1.0833333333333333,6.58471370131502,6,26.0,0.24717843826353839,6,6,26.0
520.0,7,47.0,2.238095238095238,6.693947899881878,7,47.0,0.22885406231984237,7,7,47.0
525.0,7,73.0,3.1739130434782608,8.119089808699545,7,73.0,0.3302832674501334,7,7,73.0
530.0,5,68.0,2.9565217391304346,6.52196136953542,5,62.0,0.33845478249814404,5,5,62.0
535.0,5,76.0,3.4545454545454546,9.043183177048718,4,67.0,0.3223746486040273,4,4,67.0
540.0,4,52.0,2.888888888888889,9.352272546172502,3,44.0,0.43983885924243477,3,3,44.0
545.0,7,77.0,3.2083333333333335,6.663700308747104,6,64.0,0.204152940261028,6,6,64.0
550.0,2,32.0,1.3333333333333333,9.435915843329093,1,14.0,0.454960848231677,1,1,14.0
555.0,3,22.0,1.0,13.589890171059109,3,22.0,0.6556600888367906,3,3,22.0
560.0,1,7.0,0.4117647058823529,12.411738481178686,1,7.0,0.5950367993592423,1,1,7.0
565.0,5,13.0,0.6190476190476191,6.569312937405001,5,13.0,0.2072090345765269,5,5,13.0
570.0,2,9.0,0.4090909090909091,7.925693877467711,2,9.0,0.3637174557581828,2,2,9.0
575.0,4,24.0,1.1428571428571428,13.10717830117616,4,24.0,0.5773886853256672,4,4,24.0
580.0,2,19.0,0.9047619047619048,9.890536756695132,2,19.0,0.4618944167060101,2,2,19.0
585.0,2,29.0,1.2083333333333333,10.065421874327612,2,29.0,0.436462137174353,2,2,29.0
590.0,1,5.0,0.23809523809523808,10.956865427107205,1,5.0,0.5258357814815141,1,1,5.0
595.0,4,21.0,1.0,8.188784114293293,4,21.0,0.29762140382046676,4,4,21.0
600.0,3,18.0,1.0,8.985669080486199,3,18.0,0.3673957428265775,3,3,18.0
605.0,5,37.0,1.6818181818181819,8.919694711433525,5,37.0,0.3287482376277746,5,5,37.0
610.0,1,11.0,0.5,9.134318143146766,1,11.0,0.48365384573574344,1,1,11.0
615.0,1,16.0,0.7619047619047619,12.135764055597392,1,16.0,0.5355654416369392,1,1,16.0
620.0,2,6.0,0.3333333333333333,12.1998479539699,2,6.0,0.5305875842850847,2,2,6.0
625.0,6,16.0,0.7272727272727273,7.3588489365732235,6,16.0,0.2699670423118704,6,6,16.0
630.0,3,15.0,0.7142857142857143,8.457611825052604,3,15.0,0.39172941051186755,3,3,15.0
635.0,5,35.0,1.9444444444444444,11.077557014405613,5,35.0,0.43893794261112196,5,5,35.0
640.0,3,26.0,1.8571428571428572,8.78989597292652,3,26.0,0.4576615999011729,3,3,26.0
645.0,6,41.0,2.05,6.13372636000086,6,41.0,0.16281143879595103,6,6,41.0
650.0,2,19.0,0.9047619047619048,8.28876551264249,2,35.0,0.37796705422251187,2,2,35.0
655.0,3,32.0,1.6,14.013021216394353,3,32.0,0.6709025070371981,3,3,32.0
660.0,1,8.0,0.42105263157894735,9.585598108103289,1,8.0,0.4765900343288617,1,1,8.0
665.0,2,13.0,0.48148148148148145,9.494734579497727,2,13.0,0.3725876068690982,2,2,13.0
670.0,2,6.0,0.2608695652173913,12.938541359287703,2,6.0,0.6008795515142884,2,2,6.0
675.0,4,20.0,0.8333333333333334,9.824068314349532,4,20.0,0.4073867378790464,4,4,20.0
680.0,2,18.0,0.8571428571428571,9.075103373282284,2,18.0,0.4104177169949322,2,2,18.0
685.0,5,38.0,1.7272727272727273,9.096672823643628,5,38.0,0.34107926706516517,5,5,38.0
690.0,3,18.0,0.8181818181818182,6.665444172343893,3,29.0,0.3246306445469876,3,3,29.0
695.0,4,34.0,1.619047619047619,9.359666650474805,3,28.0,0.35437648474915373,3,3,28.0
