step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,0_queue_length,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0
5.0,3,0.0,0.0,3.586247771667946,3,0.0,0.16978034967617933,3,3,0.0
10.0,1,0.0,0.0,9.391499809462116,1,0.0,0.4497906551831,1,1,0.0
15.0,0,0.0,0.0,16.169600437808967,0,0.0,0.7582697548128824,0,0,0.0
20.0,0,0.0,0.0,13.19909570949604,0,0.0,0.5983048207059966,0,0,0.0
25.0,0,0.0,0.0,11.547909993580319,0,0.0,0.5060940751330806,0,0,0.0
30.0,2,9.0,0.4090909090909091,11.00585302612322,2,9.0,0.39516279099486146,2,2,9.0
35.0,5,19.0,0.8636363636363636,5.606397459934655,5,19.0,0.2250460422757247,5,5,19.0
40.0,7,49.0,2.227272727272727,7.6819636378565175,7,49.0,0.2185458125716068,7,7,49.0
45.0,6,66.0,3.142857142857143,7.825970576909699,6,66.0,0.3310279582357442,6,6,66.0
50.0,6,96.0,4.363636363636363,8.350171479223253,6,96.0,0.3529877620457015,6,6,96.0
55.0,7,127.0,6.35,8.464467186405766,6,126.0,0.29437745887256234,6,6,126.0
60.0,9,163.0,9.055555555555555,8.104764426518546,9,163.0,0.2774546456453313,9,9,163.0
65.0,8,148.0,5.92,5.289682442624331,8,148.0,0.16582499213185886,8,8,148.0
70.0,5,165.0,6.346153846153846,8.865512321113737,5,165.0,0.36691784562921537,5,5,165.0
75.0,6,147.0,6.681818181818182,12.68129593942217,6,147.0,0.5358500064433686,6,6,147.0
80.0,5,129.0,6.7894736842105265,9.859428118273438,5,129.0,0.33314847639631573,5,5,129.0
85.0,8,154.0,6.416666666666667,5.227608565262052,8,144.0,0.14869594483610676,8,8,144.0
90.0,7,186.0,7.153846153846154,6.540072329578166,7,176.0,0.25467096762381164,7,7,176.0
95.0,9,230.0,9.2,10.788886423711583,9,220.0,0.4168193821814675,9,9,220.0
100.0,6,140.0,5.6,7.74434910587138,6,232.0,0.323707207899836,6,6,232.0
105.0,3,69.0,2.3793103448275863,9.271808436036151,3,73.0,0.3526811812469887,3,3,73.0
110.0,4,15.0,0.6521739130434783,9.876213668230612,4,29.0,0.40810142066865335,4,4,29.0
115.0,5,26.0,1.0833333333333333,7.1761260236370985,5,40.0,0.25771601871353966,5,5,40.0
120.0,7,57.0,2.4782608695652173,9.203275926584467,6,69.0,0.24486121473328426,6,6,69.0
125.0,9,90.0,3.4615384615384617,8.279099692856947,9,104.0,0.29085106739375577,9,9,104.0
130.0,5,79.0,3.0384615384615383,8.024122159030068,5,93.0,0.3926720181041826,5,5,93.0
135.0,5,104.0,4.16,10.600231647676383,5,118.0,0.44465205996765345,5,5,118.0
140.0,7,132.0,6.285714285714286,9.014785866404395,7,146.0,0.36179048056822494,7,7,146.0
145.0,11,167.0,6.423076923076923,5.402462164454247,11,181.0,0.20148921754835492,11,11,181.0
150.0,7,107.0,4.28,7.540260372771084,7,121.0,0.33634388282023053,7,7,121.0
155.0,6,120.0,5.217391304347826,10.289954278908667,6,134.0,0.36885469460827247,6,6,134.0
160.0,5,134.0,7.882352941176471,9.07143286189099,5,148.0,0.3722076196568625,5,5,148.0
165.0,8,159.0,7.571428571428571,5.317020674045393,8,173.0,0.15082540187293,8,8,173.0
170.0,5,184.0,8.363636363636363,6.549620074039052,5,198.0,0.3062656804565072,5,5,198.0
175.0,8,218.0,9.909090909090908,11.312457021704715,7,231.0,0.4883793944518469,7,7,231.0
180.0,8,258.0,10.32,9.156870720868012,7,266.0,0.35518873579078997,7,7,266.0
185.0,10,299.0,9.34375,7.7118646457847095,9,302.0,0.3021509781080238,9,9,302.0
190.0,9,329.0,11.75,9.401165659859517,9,343.0,0.3870041585860476,9,9,343.0
