step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,0_queue_length,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0
5.0,3,0.0,0.0,3.4998268745532073,3,0.0,0.16209305683162975,3,3,0.0
10.0,1,0.0,0.0,8.982901611523518,1,0.0,0.4243686038250703,1,1,0.0
15.0,0,0.0,0.0,16.2103768982374,0,0.0,0.7716868754036742,0,0,0.0
20.0,0,0.0,0.0,13.252615201239232,0,0.0,0.6457322890190812,0,0,0.0
25.0,1,1.0,0.041666666666666664,10.372030596760778,1,1.0,0.47514909974919123,1,1,1.0
30.0,5,15.0,0.6818181818181818,10.597764333818345,5,15.0,0.4117467173930973,5,5,15.0
35.0,7,44.0,1.9130434782608696,5.793538094127124,7,44.0,0.2537928953795541,7,7,44.0
40.0,8,84.0,3.652173913043478,7.6157037327631745,8,84.0,0.20865129816293168,8,8,84.0
45.0,7,96.0,4.173913043478261,6.931509647695618,7,96.0,0.30625697845383426,7,7,96.0
50.0,7,131.0,5.458333333333333,8.634619582702472,7,131.0,0.29763386713805223,7,7,131.0
55.0,5,123.0,5.857142857142857,10.103666531266285,5,123.0,0.2924159923841317,5,5,123.0
60.0,5,122.0,6.777777777777778,11.165824734865513,5,122.0,0.3958162208460336,5,5,122.0
65.0,6,140.0,6.666666666666667,5.938515070819906,6,140.0,0.18680579684260099,6,6,140.0
70.0,4,160.0,6.956521739130435,8.773695650701502,4,160.0,0.35724312499953237,4,4,160.0
75.0,5,145.0,7.25,11.676394248056397,5,145.0,0.5856517351046399,5,5,145.0
80.0,4,125.0,6.578947368421052,10.687308583430928,4,125.0,0.43836889389191463,4,4,125.0
85.0,7,146.0,6.083333333333333,5.92509681520999,7,139.0,0.20856161492542824,7,7,139.0
90.0,7,174.0,6.96,6.370260804446169,7,153.0,0.27299724930298636,7,7,153.0
95.0,8,210.0,9.130434782608695,9.299427973286098,8,189.0,0.4588668146461885,8,8,189.0
100.0,8,250.0,9.615384615384615,7.939312891533193,8,229.0,0.34731031966000037,8,8,229.0
105.0,6,228.0,8.142857142857142,7.355154501635815,6,214.0,0.3186463778953314,6,6,214.0
110.0,8,262.0,10.076923076923077,9.42368322320742,8,248.0,0.374172651883273,8,8,248.0
115.0,8,302.0,11.185185185185185,6.148911474272118,8,286.0,0.20925041927929497,8,8,286.0
120.0,10,348.0,13.92,6.73334592376872,9,330.0,0.1757502222004351,9,9,330.0
125.0,11,385.0,13.275862068965518,6.208598496848994,10,364.0,0.28399293339522386,10,10,364.0
130.0,9,423.0,13.64516129032258,8.351771665507412,9,409.0,0.3347530241444325,9,9,409.0
135.0,9,468.0,17.333333333333332,8.782051701189642,9,454.0,0.3713108111764392,9,9,454.0
140.0,12,522.0,20.88,7.473290639295132,12,508.0,0.22856423814162474,12,12,508.0
145.0,17,584.0,19.466666666666665,4.413613340379208,17,570.0,0.15023422452272459,17,17,570.0
150.0,12,392.0,13.517241379310345,5.617913001329142,12,385.0,0.2527157921217104,12,12,385.0
155.0,6,91.0,3.3703703703703702,8.705620234384778,6,227.0,0.349439552027342,6,6,227.0
160.0,6,73.0,2.92,8.738269914225747,6,216.0,0.20665248065408615,6,6,216.0
165.0,10,108.0,3.857142857142857,6.58189068132729,10,251.0,0.1005963538638095,10,10,251.0
170.0,9,128.0,5.12,6.278878456268233,9,271.0,0.2833531046640251,9,9,271.0
175.0,9,173.0,7.521739130434782,10.319651120063806,9,316.0,0.4621342605448079,9,9,316.0
180.0,8,207.0,7.961538461538462,7.7118316734595815,8,350.0,0.32116477034481183,8,8,350.0
185.0,10,250.0,7.352941176470588,7.693862738085757,10,393.0,0.26230010996481357,10,10,393.0
190.0,12,307.0,10.964285714285714,7.6550167992001175,12,450.0,0.35718334468441315,12,12,450.0
195.0,14,372.0,11.625,7.03288773787095,14,515.0,0.26165636055134434,14,14,515.0
200.0,13,361.0,11.64516129032258,6.621257232534119,13,488.0,0.19068651524705815,13,13,488.0
205.0,12,370.0,11.5625,6.628773558492265,12,499.0,0.2398202964540772,12,12,499.0
210.0,16,440.0,12.941176470588236,6.77837544151849,16,567.0,0.22337932583494607,16,16,567.0
215.0,14,385.0,12.03125,6.835293600435916,13,510.0,0.20995640407247157,13,13,510.0
220.0,11,338.0,12.518518518518519,7.2981923767385295,11,498.0,0.24334387907497057,11,11,498.0
225.0,14,327.0,11.275862068965518,5.12364532572176,14,420.0,0.14074053975811054,14,14,420.0
230.0,8,175.0,6.730769230769231,6.5550087125325645,8,355.0,0.2884959906354476,8,8,355.0
235.0,9,216.0,8.64,7.525003440969533,9,396.0,0.2971686876779014,9,9,396.0
240.0,13,276.0,12.545454545454545,6.535815460539291,13,456.0,0.18273437578025176,13,13,456.0
245.0,12,186.0,6.888888888888889,3.645951731371965,12,366.0,0.11576073024748344,12,12,366.0
250.0,10,147.0,4.454545454545454,6.979838166607114,10,327.0,0.27750588463364084,10,10,327.0
255.0,7,138.0,4.6,10.76527336801479,7,296.0,0.499552584194339,7,7,296.0
260.0,6,139.0,4.483870967741935,10.735737310178543,6,286.0,0.4739932876687575,6,6,286.0
265.0,8,171.0,5.7,8.192350249250348,8,307.0,0.3504956346786285,8,8,307.0
270.0,7,133.0,4.75,7.616687963051112,7,280.0,0.3390995280535597,7,7,280.0
275.0,11,184.0,6.133333333333334,5.836394486066898,11,331.0,0.20899278375065175,11,11,331.0
280.0,11,187.0,6.925925925925926,6.493782529789692,11,260.0,0.16748856630910286,11,11,260.0
285.0,9,112.0,4.148148148148148,7.662870932448677,9,219.0,0.28292855479488227,9,9,219.0
290.0,7,78.0,2.689655172413793,6.329147236366818,7,182.0,0.25802587144095723,7,7,182.0
295.0,7,82.0,3.28,7.763004594787134,7,189.0,0.2630854525793398,7,7,189.0
300.0,10,126.0,6.0,8.356908150212416,10,233.0,0.26237038232545246,10,10,233.0
305.0,10,151.0,5.8076923076923075,5.534981705147438,10,188.0,0.18402810468796296,10,10,188.0
310.0,6,155.0,5.7407407407407405,8.0854467835746,6,186.0,0.345561029570437,6,6,186.0
315.0,5,132.0,5.076923076923077,10.798774524300834,5,163.0,0.5331768981282492,5,5,163.0
320.0,7,167.0,7.260869565217392,9.485911742779466,7,196.0,0.29923320362828076,7,7,196.0
325.0,10,204.0,8.16,4.462547653777547,10,233.0,0.17647072711220088,10,10,233.0
330.0,12,252.0,9.0,6.371469336716785,12,281.0,0.2683804864155183,12,12,281.0
335.0,11,305.0,11.296296296296296,8.928794639028544,11,334.0,0.3872670541783348,11,11,334.0
340.0,12,364.0,12.133333333333333,6.808122053865117,12,393.0,0.2427854592717429,12,12,393.0
345.0,9,242.0,7.5625,6.476907589321337,9,271.0,0.23335762221392423,9,9,271.0
350.0,9,156.0,5.379310344827586,8.525774656117179,9,205.0,0.330532795860441,9,9,205.0
355.0,11,204.0,7.0344827586206895,6.299909059973107,11,233.0,0.1970197292682583,11,11,233.0
360.0,10,183.0,7.32,6.180746325172787,10,208.0,0.1815351734113532,10,10,208.0
365.0,12,229.0,7.896551724137931,6.3234847199983015,12,254.0,0.24804126375240176,12,12,254.0
370.0,10,242.0,8.066666666666666,7.797979539082078,10,267.0,0.307158157103582,10,10,267.0
375.0,9,263.0,9.74074074074074,9.10261884473496,9,288.0,0.3975210898614771,9,9,288.0
380.0,10,292.0,11.23076923076923,7.985282236113999,10,317.0,0.28814621917752437,10,10,317.0
385.0,15,343.0,11.433333333333334,4.669106736549612,15,368.0,0.15051070949372272,15,15,368.0
390.0,9,259.0,9.25,5.856345654778683,9,290.0,0.2696514534974703,9,9,290.0
395.0,8,271.0,10.423076923076923,10.21806300258924,8,302.0,0.3460421536819138,8,8,302.0
