step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,0_queue_length,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0
5.0,3,0.0,0.0,3.636228403040666,3,0.0,0.17208521571979143,3,3,0.0
10.0,1,0.0,0.0,9.105445487970448,1,0.0,0.44118907977077454,1,1,0.0
15.0,0,0.0,0.0,16.498286342419696,0,0.0,0.7855001839015314,0,0,0.0
20.0,0,0.0,0.0,12.862568747675246,0,0.0,0.6171274783515939,0,0,0.0
25.0,0,0.0,0.0,11.39108174514569,0,0.0,0.4992918345165758,0,0,0.0
30.0,2,8.0,0.34782608695652173,10.365076931166497,1,4.0,0.5081371273979719,1,1,4.0
35.0,5,19.0,0.8636363636363636,7.107046396075563,5,19.0,0.2761585927225413,5,5,19.0
40.0,4,29.0,1.5263157894736843,6.4596924217463805,4,29.0,0.28012825370749783,4,4,29.0
45.0,6,45.0,2.142857142857143,8.632676483134125,6,45.0,0.3778673049855188,6,6,45.0
50.0,3,31.0,1.4761904761904763,7.440382256159824,3,27.0,0.37726334932878197,3,3,27.0
55.0,2,26.0,1.3,10.320367356449196,2,22.0,0.4584827934123887,2,2,22.0
60.0,4,29.0,1.7058823529411764,10.651083593783465,3,20.0,0.5310808015618508,3,3,20.0
65.0,5,39.0,1.8571428571428572,6.942810001366661,5,35.0,0.278793225331887,5,5,35.0
70.0,1,12.0,0.5714285714285714,8.525535606707784,1,12.0,0.4576167328317911,1,1,12.0
75.0,1,17.0,0.85,14.8610157276802,1,17.0,0.6769029301078238,1,1,17.0
80.0,1,3.0,0.16666666666666666,13.466390284914905,1,3.0,0.5404162465321579,1,1,3.0
85.0,5,10.0,0.47619047619047616,6.326681237319184,5,10.0,0.1830605966701813,5,5,10.0
90.0,3,24.0,1.0909090909090908,7.6634559723844715,3,24.0,0.34383166893648387,3,3,24.0
95.0,5,45.0,2.142857142857143,12.441125166313022,5,45.0,0.5587287793278249,5,5,45.0
100.0,3,43.0,1.9545454545454546,9.066011464798935,3,43.0,0.4174412697364195,3,3,43.0
105.0,3,58.0,2.32,9.122585230195085,3,58.0,0.3766305911837086,3,3,58.0
110.0,3,9.0,0.391304347826087,10.777801000700505,3,9.0,0.5319410082462959,3,3,9.0
115.0,4,19.0,0.8636363636363636,8.41815706019298,4,19.0,0.3021903186248026,4,4,19.0
120.0,3,19.0,1.0555555555555556,9.103278794578065,3,13.0,0.37330365161945744,3,3,13.0
125.0,5,36.0,1.6363636363636365,7.682011001770826,5,30.0,0.30572024851712504,5,5,30.0
130.0,2,16.0,0.6956521739130435,8.55387919512549,2,16.0,0.46787042667773965,2,2,16.0
135.0,2,26.0,1.1818181818181819,12.138504234751814,2,26.0,0.5426756202686664,2,2,26.0
140.0,3,19.0,1.0,11.567421302777369,3,19.0,0.5209802130234992,3,3,19.0
145.0,7,34.0,1.4782608695652173,7.037221590768533,7,34.0,0.22250101256636523,7,7,34.0
150.0,3,15.0,0.6818181818181818,9.16469999502553,3,15.0,0.4150592045834721,3,3,15.0
155.0,4,32.0,1.7777777777777777,11.172206445733345,4,32.0,0.48191557326623735,4,4,32.0
160.0,2,18.0,1.2,11.226559627660018,2,18.0,0.5769341020130475,2,2,18.0
165.0,5,28.0,1.4736842105263157,6.021770707008909,5,28.0,0.15096266651231524,5,5,28.0
170.0,1,1.0,0.05,8.003834413355566,1,1.0,0.38997816083226605,1,1,1.0
175.0,2,11.0,0.5789473684210527,14.651270483006137,2,11.0,0.670901102643391,2,2,11.0
180.0,1,10.0,0.5555555555555556,10.792114465333405,1,10.0,0.5096152066327216,1,1,10.0
185.0,2,15.0,0.6,8.92048488156429,2,15.0,0.39944770807752356,2,2,15.0
190.0,2,6.0,0.2608695652173913,12.881778025187545,2,6.0,0.6111577647422749,2,2,6.0
195.0,4,20.0,0.8333333333333334,10.131520967850804,4,20.0,0.4477684869499694,4,4,20.0
200.0,4,24.0,1.1428571428571428,8.416146309704908,4,24.0,0.34165080168350553,4,4,24.0
