step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,0_queue_length,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0
5.0,3,0.0,0.0,3.4662021330615356,3,0.0,0.16188923979400463,3,3,0.0
10.0,1,0.0,0.0,9.152742408707798,1,0.0,0.44222121369218625,1,1,0.0
15.0,0,0.0,0.0,16.211945544167655,0,0.0,0.7765883589850886,0,0,0.0
20.0,0,0.0,0.0,12.924681214886665,0,0.0,0.6429096535554656,0,0,0.0
25.0,0,0.0,0.0,11.756411539545532,0,0.0,0.4715639695091479,0,0,0.0
30.0,2,9.0,0.4090909090909091,11.127103204932014,2,9.0,0.42952640088037963,2,2,9.0
35.0,5,19.0,0.8260869565217391,6.904754513545975,5,19.0,0.22289694088128967,5,5,19.0
40.0,6,48.0,2.2857142857142856,8.07968425804501,6,48.0,0.2369522141632976,6,6,48.0
45.0,5,49.0,2.3333333333333335,8.33229249888643,5,49.0,0.3535112181869471,5,5,49.0
50.0,4,57.0,2.7142857142857144,8.34791864090048,4,57.0,0.3742450715813194,4,4,57.0
55.0,1,19.0,1.0555555555555556,8.651513008720222,1,39.0,0.3912260169634088,1,1,39.0
60.0,3,8.0,0.47058823529411764,11.71885041053215,3,8.0,0.5512791665767344,3,3,8.0
65.0,4,15.0,0.6818181818181818,7.904166814238686,4,15.0,0.2512732374926308,4,4,15.0
70.0,2,25.0,1.1904761904761905,10.383030473850141,2,25.0,0.4394370087013956,2,2,25.0
75.0,2,18.0,1.0588235294117647,13.152024109247977,2,18.0,0.6891352942920477,2,2,18.0
80.0,3,32.0,1.8823529411764706,11.523724607550006,3,32.0,0.480934528301938,3,3,32.0
85.0,4,12.0,0.5,6.314861655296331,4,12.0,0.21377329656751395,4,4,12.0
90.0,5,25.0,1.0,8.064523306381945,4,21.0,0.31182679261341745,4,4,21.0
95.0,3,18.0,0.9,11.178320008399616,3,18.0,0.6136485554554181,3,3,18.0
100.0,3,33.0,1.434782608695652,11.122734846801587,3,33.0,0.4169339174572091,3,3,33.0
105.0,2,33.0,1.434782608695652,9.920825236319448,2,33.0,0.4310199280490914,2,2,33.0
110.0,4,50.0,2.6315789473684212,11.315262155051249,4,50.0,0.4813001787255681,4,4,50.0
115.0,3,19.0,0.8636363636363636,7.189875669251174,3,19.0,0.30224392574343234,3,3,19.0
120.0,4,26.0,1.368421052631579,8.822063075894725,4,26.0,0.31273074332849626,4,4,26.0
125.0,4,23.0,1.0,8.530009846150321,4,22.0,0.39484322786027876,4,4,22.0
130.0,4,40.0,1.6,9.56839974144171,3,37.0,0.4323060097582776,3,3,37.0
135.0,2,37.0,1.6818181818181819,11.624429679515945,2,37.0,0.5156444358872428,2,2,37.0
140.0,4,53.0,2.789473684210526,11.663925905802616,4,53.0,0.4453901807595546,4,4,53.0
145.0,6,13.0,0.52,6.8760157870360334,6,13.0,0.2510693131924061,6,6,13.0
150.0,4,28.0,1.3333333333333333,8.656097412705932,4,28.0,0.39709499823751754,4,4,28.0
155.0,4,28.0,1.6470588235294117,9.651817057365328,3,32.0,0.45704157701499265,3,3,32.0
160.0,5,53.0,3.3125,10.03804108839231,4,46.0,0.2009158166590101,4,4,46.0
165.0,5,26.0,1.3,4.822577740394604,4,14.0,0.21570862023553128,4,4,14.0
170.0,3,22.0,0.9565217391304348,8.699354140724754,3,22.0,0.3642623120082118,3,3,22.0
175.0,2,12.0,0.631578947368421,13.67344105883477,2,12.0,0.70554320600168,2,2,12.0
180.0,2,22.0,1.1,11.511689291291589,2,22.0,0.4984402596299289,2,2,22.0
185.0,3,32.0,1.1428571428571428,10.366755964484083,3,32.0,0.3421170417734588,3,3,32.0
190.0,3,45.0,1.9565217391304348,11.708220770031534,3,45.0,0.521217146202016,3,3,45.0
195.0,5,66.0,2.64,9.210618095191457,5,66.0,0.34093359031961545,5,5,66.0
200.0,4,49.0,2.0416666666666665,8.601904153373827,4,49.0,0.3385121246046165,4,4,49.0
205.0,6,72.0,3.0,7.436429234057184,6,72.0,0.2908221941956674,6,6,72.0
210.0,5,32.0,1.28,6.438270165662354,5,26.0,0.33405014005642936,5,5,26.0
215.0,5,48.0,2.0869565217391304,8.553785519449843,4,34.0,0.3300051847398231,4,4,34.0
220.0,5,39.0,1.95,9.727583416919737,4,26.0,0.4623823050243188,4,4,26.0
225.0,9,64.0,2.909090909090909,7.0042176958464895,8,46.0,0.24298021079766616,8,8,46.0
230.0,2,30.0,1.4285714285714286,9.351381890277656,1,12.0,0.4740915105063084,1,1,12.0
235.0,3,20.0,1.1764705882352942,11.487927970386394,3,20.0,0.5521507065873127,3,3,20.0
240.0,1,7.0,0.5384615384615384,11.812974440202014,1,7.0,0.4504314403026499,1,1,7.0
245.0,4,12.0,0.7058823529411765,6.613434151593626,4,12.0,0.21359558754830324,4,4,12.0
250.0,4,2.0,0.09090909090909091,7.244233249483702,4,2.0,0.3338282070289503,4,4,2.0
255.0,2,10.0,0.47619047619047616,14.578048776357425,2,10.0,0.6698519407187282,2,2,10.0
260.0,1,8.0,0.34782608695652173,12.392790140111996,1,8.0,0.5494449319505678,1,1,8.0
265.0,1,13.0,0.5,10.792330358169448,1,13.0,0.4789622179234903,1,1,13.0
270.0,4,14.0,0.5833333333333334,10.244701859006629,3,11.0,0.47947875416372754,3,3,11.0
275.0,6,31.0,1.24,7.4795833588043354,6,30.0,0.2451380998423331,6,6,30.0
280.0,5,45.0,2.25,7.461923552752076,5,44.0,0.2718858138349736,5,5,44.0
285.0,6,67.0,3.35,8.045865144839567,6,66.0,0.32968073033086004,6,6,66.0
290.0,3,50.0,2.380952380952381,7.389846950652221,3,45.0,0.3831568285683079,3,3,45.0
295.0,2,45.0,2.25,11.04051047507469,2,40.0,0.3896763101321538,2,2,40.0
300.0,3,59.0,3.6875,11.44369805214217,3,54.0,0.5130345749188611,3,3,54.0
305.0,6,74.0,3.7,7.16845703074645,6,69.0,0.26012408317972213,6,6,69.0
310.0,0,0.0,0.0,9.084253139352105,0,0.0,0.47175149786120446,0,0,0.0
315.0,2,3.0,0.15789473684210525,14.519803994830248,2,3.0,0.7124585766337225,2,2,3.0
320.0,2,13.0,0.7647058823529411,13.997382117517835,2,13.0,0.5511383145787434,2,2,13.0
325.0,4,12.0,0.5454545454545454,6.323521046879842,4,12.0,0.21090857537378502,4,4,12.0
330.0,3,20.0,0.9090909090909091,8.217421858086356,3,20.0,0.3088676134718527,3,3,20.0
335.0,3,17.0,0.8947368421052632,11.608828230460759,3,17.0,0.5877138342630985,3,3,17.0
340.0,3,32.0,1.391304347826087,10.833601915680669,3,32.0,0.4169911793701129,3,3,32.0
345.0,2,32.0,1.391304347826087,10.065476976651116,2,32.0,0.4373865674434627,2,2,32.0
350.0,4,49.0,2.5789473684210527,11.101005541514093,4,49.0,0.4513297948393787,4,4,49.0
355.0,5,66.0,3.0,7.363547304535921,5,66.0,0.28576997072834065,5,5,66.0
360.0,5,91.0,4.55,8.174919727455578,5,91.0,0.24123892624254073,5,5,91.0
365.0,6,46.0,2.0,7.04885595923978,6,46.0,0.34277862158740036,6,6,46.0
370.0,3,37.0,1.48,9.214082448851434,3,37.0,0.4282876602989449,3,3,37.0
375.0,2,16.0,0.6956521739130435,11.54389107719692,1,15.0,0.5974447165401088,1,1,15.0
380.0,4,34.0,1.7,10.976913210893525,3,28.0,0.4735921258239372,3,3,28.0
385.0,7,21.0,0.875,6.00738431953599,6,10.0,0.218619661955901,6,6,10.0
390.0,6,43.0,1.9545454545454546,8.162082780976284,5,27.0,0.36803280134247757,5,5,27.0
395.0,6,57.0,2.7142857142857144,10.24396664644624,5,36.0,0.48174577657101025,5,5,36.0
400.0,5,61.0,3.388888888888889,9.639036964629229,5,61.0,0.353543853685855,5,5,61.0
405.0,4,29.0,1.45,4.295336126986537,4,29.0,0.1470247459961899,4,4,29.0
410.0,3,41.0,1.8636363636363635,8.219453539035458,3,41.0,0.3627635316131238,3,3,41.0
415.0,3,12.0,0.6,12.509765100054231,2,9.0,0.6859920764288273,2,2,9.0
420.0,2,21.0,0.9545454545454546,10.455821184571908,2,19.0,0.42401072652989874,2,2,19.0
425.0,2,14.0,0.5185185185185185,8.587473876188373,2,14.0,0.3893715889293746,2,2,14.0
430.0,4,26.0,1.1304347826086956,12.279379839596208,4,26.0,0.49687265010981774,4,4,26.0
435.0,4,20.0,0.7692307692307693,9.326585102895537,4,20.0,0.4192646300033115,4,4,20.0
440.0,5,41.0,1.7083333333333333,9.066925360326254,5,41.0,0.2790046767159523,5,5,41.0
445.0,6,42.0,1.9090909090909092,7.150058231432046,6,54.0,0.32132099426726146,6,6,54.0
450.0,6,72.0,3.0,7.321008299456946,6,72.0,0.3110407511422801,6,6,72.0
455.0,4,44.0,2.0952380952380953,8.26571858521954,4,44.0,0.36306476683513256,4,4,44.0
460.0,4,57.0,3.0,10.524278879607698,4,57.0,0.4143630877994371,4,4,57.0
465.0,6,26.0,1.1818181818181819,7.777375331511277,6,26.0,0.22531565239665183,6,6,26.0
470.0,2,36.0,2.0,10.096039443684074,2,36.0,0.4697472636797481,2,2,36.0
475.0,3,3.0,0.17647058823529413,11.829121201036601,2,2.0,0.6469445929637432,2,2,2.0
480.0,2,12.0,0.8,12.950344836746394,2,12.0,0.4737087693687914,2,2,12.0
485.0,3,11.0,0.6875,4.998600913483951,3,11.0,0.22410813703528848,3,3,11.0
490.0,5,19.0,0.8260869565217391,7.484115771648619,5,19.0,0.358458872209689,5,5,19.0
495.0,2,9.0,0.42857142857142855,13.466388663922535,2,9.0,0.6729542714262768,2,2,9.0
500.0,2,19.0,0.7916666666666666,12.181983670631672,2,19.0,0.4791637140868758,2,2,19.0
505.0,1,11.0,0.4230769230769231,9.491647865750037,1,11.0,0.4618183725562476,1,1,11.0
510.0,4,24.0,1.0434782608695652,10.067966019297852,4,24.0,0.4490888687526425,4,4,24.0
515.0,6,27.0,1.0384615384615385,6.973162823098719,6,26.0,0.2526703241670778,6,6,26.0
520.0,6,57.0,2.4782608695652173,7.8842794838211185,6,56.0,0.2345095364867505,6,6,56.0
525.0,6,63.0,2.8636363636363638,8.069758025022939,6,62.0,0.33513485770374996,6,6,62.0
530.0,5,74.0,3.3636363636363638,7.837657491454437,5,73.0,0.35577422966045263,5,5,73.0
535.0,2,36.0,1.894736842105263,8.939726572361751,2,36.0,0.3891258335394321,2,2,36.0
540.0,3,26.0,1.5294117647058822,12.501810881166241,3,26.0,0.5182728803134125,3,3,26.0
545.0,3,7.0,0.35,7.805478174014082,3,31.0,0.2311196908256676,3,3,31.0
550.0,1,12.0,0.6,10.030163054749686,1,12.0,0.467006689612942,1,1,12.0
555.0,2,4.0,0.2,14.085903163973583,1,2.0,0.7726362890818953,1,1,2.0
560.0,1,7.0,0.4117647058823529,13.0203714011759,1,7.0,0.6225124519189864,1,1,7.0
565.0,4,12.0,0.631578947368421,5.621060820833993,4,12.0,0.22708084337232756,4,4,12.0
570.0,2,21.0,0.9545454545454546,7.6571660657443035,2,21.0,0.30766557506985687,2,2,21.0
575.0,4,19.0,0.9047619047619048,11.937258981713057,4,19.0,0.5733501553764497,4,4,19.0
580.0,4,39.0,1.625,10.132452137138726,4,35.0,0.3736807459291617,4,4,35.0
585.0,4,59.0,2.4583333333333335,9.847648006901006,4,55.0,0.37060761149669275,4,4,55.0
590.0,5,83.0,4.15,9.83511318376964,5,79.0,0.41563968052140615,5,5,79.0
595.0,5,61.0,2.652173913043478,6.3913565168771935,5,57.0,0.24438273879444866,5,5,57.0
600.0,5,86.0,3.909090909090909,8.478345176919403,5,82.0,0.2252512529536692,5,5,82.0
605.0,6,42.0,1.826086956521739,7.0684515936679455,6,42.0,0.341333649135438,6,6,42.0
610.0,3,35.0,1.4,9.529836226008323,3,35.0,0.4545390695554262,3,3,35.0
615.0,1,14.0,0.6086956521739131,12.609652608743145,1,14.0,0.5724076777173314,1,1,14.0
620.0,3,23.0,1.2105263157894737,12.646496533856746,3,23.0,0.522980601773889,3,3,23.0
625.0,5,6.0,0.2727272727272727,6.359123988550158,5,6.0,0.21373947070320373,5,5,6.0
630.0,4,19.0,0.9047619047619048,9.289076108687313,4,19.0,0.3720846543114963,4,4,19.0
635.0,5,23.0,1.2105263157894737,11.27901038096192,4,20.0,0.5284884540090976,4,4,20.0
640.0,4,40.0,2.5,11.248375610621274,4,40.0,0.40847933577611895,4,4,40.0
645.0,4,29.0,1.5263157894736843,4.539682484870864,4,22.0,0.16362480312273806,4,4,22.0
650.0,3,42.0,2.0,8.326954113253354,3,35.0,0.3651514707218496,3,3,35.0
655.0,2,13.0,0.6842105263157895,13.183866258798455,2,13.0,0.6870818236378594,2,2,13.0
660.0,2,23.0,1.0454545454545454,11.300192488567482,2,23.0,0.4508772256327229,2,2,23.0
665.0,2,15.0,0.5769230769230769,8.750084945505002,2,32.0,0.3826927913990225,2,2,32.0
670.0,3,26.0,1.1304347826086956,11.15867184034563,3,26.0,0.5199297144041773,3,3,26.0
675.0,4,20.0,0.7692307692307693,9.046066777768255,4,20.0,0.3978513616197145,4,4,20.0
680.0,5,41.0,1.7083333333333333,9.378461679360848,5,41.0,0.3077600200084776,5,5,41.0
685.0,5,39.0,1.7727272727272727,7.165457390695817,5,39.0,0.35868241600768386,5,5,39.0
690.0,8,69.0,2.76,6.762679551379645,7,67.0,0.3348328805281571,7,7,67.0
695.0,4,41.0,1.8636363636363635,7.534334555369754,4,41.0,0.3604388119618576,4,4,41.0
700.0,5,55.0,2.8947368421052633,9.877000997513854,5,55.0,0.4054431176769765,5,5,55.0
705.0,6,23.0,1.0,7.860314018061565,6,23.0,0.27495224908826316,6,6,23.0
710.0,2,33.0,1.8333333333333333,9.949843731351903,2,33.0,0.46792671601445235,2,2,33.0
715.0,3,5.0,0.29411764705882354,12.890357501540823,2,4.0,0.6707345168520851,2,2,4.0
720.0,2,14.0,1.0,11.983381850206454,2,13.0,0.5180298725796949,2,2,13.0
725.0,3,11.0,0.6470588235294118,5.176982026170657,3,10.0,0.190101030626021,3,3,10.0
730.0,5,19.0,0.8260869565217391,7.614624489550572,5,18.0,0.33283444764901426,5,5,18.0
735.0,2,12.0,0.5714285714285714,13.262288098065131,2,12.0,0.6622678375521073,2,2,12.0
740.0,2,22.0,0.9166666666666666,12.55070061923636,2,22.0,0.5466874589859975,2,2,22.0
745.0,1,14.0,0.56,10.626972417676843,1,14.0,0.46879062605790456,1,1,14.0
750.0,2,24.0,1.0909090909090908,10.151356712509134,2,24.0,0.41526528979753413,2,2,24.0
755.0,4,17.0,0.68,6.928020882400003,4,17.0,0.24247640303322596,4,4,17.0
760.0,6,42.0,1.9090909090909092,8.177502947563383,6,42.0,0.20777301061683653,6,6,42.0
765.0,5,43.0,2.15,8.256357226317864,5,43.0,0.33915394965429013,5,5,43.0
