step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,0_queue_length,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0
5.0,3,0.0,0.0,3.5167836327947426,3,0.0,0.15533598323202683,3,3,0.0
10.0,1,0.0,0.0,9.212490267445038,1,0.0,0.4149445167601229,1,1,0.0
15.0,0,0.0,0.0,16.50316785463152,0,0.0,0.7854268343814429,0,0,0.0
20.0,0,0.0,0.0,13.159777793487118,0,0.0,0.6520187638603191,0,0,0.0
25.0,0,0.0,0.0,11.786676216900188,0,0.0,0.5393400655309849,0,0,0.0
30.0,2,6.0,0.2857142857142857,10.478492411185496,2,6.0,0.5238676063320054,2,2,6.0
35.0,5,21.0,0.9130434782608695,7.666822052695365,5,21.0,0.2737639252502238,5,5,21.0
40.0,4,29.0,1.5263157894736843,7.943553639540412,4,29.0,0.311060278697097,4,4,29.0
45.0,5,44.0,2.2,9.266429175132313,5,44.0,0.3603141151325721,5,5,44.0
50.0,2,25.0,1.25,7.514660257370316,2,20.0,0.43383026862931656,2,2,20.0
55.0,2,17.0,0.8947368421052632,10.040874876757988,1,10.0,0.4346979512388449,1,1,10.0
60.0,3,30.0,1.875,11.783838444557496,2,18.0,0.6023410893261911,2,2,18.0
65.0,5,33.0,1.65,7.60051708386779,5,28.0,0.27652378676695805,5,5,28.0
70.0,0,0.0,0.0,8.295902332865516,0,24.0,0.4141281108012869,0,0,24.0
75.0,2,3.0,0.15789473684210525,14.081428799708572,2,3.0,0.6772914704977061,2,2,3.0
80.0,2,13.0,0.7222222222222222,12.712943841541215,2,13.0,0.5471629697825183,2,2,13.0
85.0,4,25.0,1.0869565217391304,6.38845001495322,4,25.0,0.21033695639778474,4,4,25.0
90.0,3,25.0,1.0416666666666667,7.284295634722658,3,25.0,0.3537799631476014,3,3,25.0
95.0,6,50.0,2.272727272727273,11.902092220830541,6,50.0,0.5395752941919953,6,6,50.0
100.0,4,53.0,2.2083333333333335,9.0598169837166,4,53.0,0.3339645158896454,4,4,53.0
105.0,4,73.0,2.8076923076923075,9.198991571310318,4,73.0,0.33894680238772257,4,4,73.0
110.0,4,25.0,1.0869565217391304,10.06519102322072,4,25.0,0.4096623355207718,4,4,25.0
115.0,4,43.0,1.8695652173913044,7.776099563896527,4,43.0,0.20880199624324175,4,4,43.0
120.0,4,45.0,2.5,7.407829032763366,4,45.0,0.31196654630048354,4,4,45.0
125.0,7,72.0,3.0,7.971841736788343,7,72.0,0.334580905999947,7,7,72.0
130.0,3,28.0,1.1666666666666667,8.024497051796375,3,34.0,0.4316182071968945,3,3,34.0
135.0,2,31.0,1.3478260869565217,11.825581061768688,2,25.0,0.5150820356401551,2,2,25.0
140.0,4,46.0,2.5555555555555554,11.04269301234095,4,40.0,0.43160196744085527,4,4,40.0
145.0,9,68.0,2.9565217391304346,6.487537094759469,9,62.0,0.1887228483137156,9,9,62.0
150.0,3,12.0,0.5714285714285714,6.866230185027992,3,12.0,0.38116628771603733,3,3,12.0
155.0,5,30.0,1.4285714285714286,11.492443407241476,5,30.0,0.5051494801439707,5,5,30.0
160.0,4,40.0,2.2222222222222223,11.42520454081438,3,40.0,0.4874677902016994,3,3,40.0
165.0,4,50.0,2.380952380952381,6.115984141126724,4,50.0,0.16624570437713035,4,4,50.0
170.0,3,50.0,2.380952380952381,7.587123870938629,3,50.0,0.3806855952333331,3,3,50.0
175.0,4,70.0,3.6842105263157894,13.54021395395047,4,70.0,0.6125899074384511,4,4,70.0
180.0,2,41.0,2.05,9.101457553096093,2,52.0,0.39749478182329306,2,2,52.0
185.0,3,51.0,1.8214285714285714,9.166481743935424,3,51.0,0.35232011792031687,3,3,51.0
190.0,2,8.0,0.32,11.31972292423898,2,8.0,0.5619609863795627,2,2,8.0
195.0,4,22.0,0.88,10.105398370960001,4,22.0,0.39710066978200975,4,4,22.0
200.0,3,20.0,1.0,8.978783043630447,3,27.0,0.4418603439294386,3,3,27.0
205.0,4,36.0,1.6363636363636365,8.89665577642884,4,36.0,0.38562039834259837,4,4,36.0
210.0,3,18.0,0.8181818181818182,7.005936357467462,3,18.0,0.37548905374286357,3,3,18.0
215.0,3,31.0,1.4761904761904763,9.313497345940643,3,31.0,0.38061234552807166,3,3,31.0
220.0,5,54.0,3.176470588235294,9.867999699266237,5,54.0,0.4332827289338608,5,5,54.0
225.0,9,79.0,3.95,6.510951863459712,9,79.0,0.21151231333173556,9,9,79.0
230.0,2,45.0,2.5,7.475232902204244,2,45.0,0.42108465168709974,2,2,45.0
235.0,3,57.0,3.1666666666666665,12.710383761070204,3,57.0,0.5213282904223889,3,3,57.0
240.0,2,65.0,4.333333333333333,12.534575321432278,2,65.0,0.5003476834566037,2,2,65.0
245.0,5,75.0,3.75,6.654560020192828,5,75.0,0.21427521598527172,5,5,75.0
250.0,4,47.0,1.9583333333333333,7.16132128349749,4,47.0,0.36432391101304623,4,4,47.0
255.0,3,59.0,2.6818181818181817,13.536622950064311,3,59.0,0.6563280910754554,3,3,59.0
260.0,1,7.0,0.30434782608695654,11.954963038748975,1,7.0,0.5989490816185198,1,1,7.0
265.0,1,12.0,0.4444444444444444,10.711025837907695,1,12.0,0.43866160502855994,1,1,12.0
270.0,3,6.0,0.24,9.719141766100414,2,4.0,0.45050799609780784,2,2,4.0
275.0,7,29.0,1.1153846153846154,7.6446249485221305,6,22.0,0.24411008622608332,6,6,22.0
280.0,6,50.0,2.380952380952381,7.477656378233945,5,38.0,0.26772776061971215,5,5,38.0
285.0,7,74.0,3.5238095238095237,8.062979360460336,6,57.0,0.3391716206546032,6,6,57.0
290.0,3,43.0,1.9545454545454546,6.638698918198418,3,53.0,0.355115798962544,3,3,53.0
295.0,3,41.0,2.05,9.809496510609653,2,33.0,0.3824675070980301,2,2,33.0
300.0,3,12.0,0.7058823529411765,10.744742263508774,2,31.0,0.519587761537197,2,2,31.0
305.0,5,27.0,1.2857142857142858,7.562307140074893,4,14.0,0.26236768977618724,4,4,14.0
310.0,2,31.0,1.3478260869565217,10.08253754304083,1,13.0,0.4538024945416312,1,1,13.0
315.0,3,22.0,1.1578947368421053,13.738538065293973,3,22.0,0.693744212088764,3,3,22.0
320.0,1,7.0,0.4117647058823529,12.086757915407501,1,7.0,0.6130593410034509,1,1,7.0
325.0,5,13.0,0.6190476190476191,6.413877796453733,5,13.0,0.2107783856736892,5,5,13.0
330.0,2,10.0,0.45454545454545453,7.79276593059918,2,10.0,0.401497040311033,2,2,10.0
335.0,3,25.0,1.1904761904761905,12.71407204983657,3,25.0,0.598216100239547,3,3,25.0
340.0,2,18.0,0.8571428571428571,9.773705379494183,2,18.0,0.5101481313541307,2,2,18.0
345.0,2,28.0,1.1666666666666667,10.250266818715048,2,28.0,0.42996034717338016,2,2,28.0
350.0,1,4.0,0.19047619047619047,11.183241940920292,1,4.0,0.5263719718981554,1,1,4.0
355.0,4,18.0,0.8571428571428571,8.059666381187895,4,18.0,0.30012719133743226,4,4,18.0
360.0,2,16.0,0.9411764705882353,8.505676050646265,2,29.0,0.33339883999001096,2,2,29.0
365.0,5,35.0,1.6666666666666667,7.990512186676073,5,35.0,0.328542344791132,5,5,35.0
370.0,1,10.0,0.45454545454545453,8.787907154368533,1,10.0,0.5059463164442968,1,1,10.0
375.0,1,15.0,0.7142857142857143,12.935874158633261,1,15.0,0.5622039608299646,1,1,15.0
380.0,2,5.0,0.29411764705882354,12.122752133026495,2,5.0,0.5594209836992345,2,2,5.0
385.0,6,15.0,0.6521739130434783,7.855424543397062,6,15.0,0.22342594690460513,6,6,15.0
390.0,3,18.0,0.8571428571428571,9.60609184314698,3,18.0,0.4168799500094452,3,3,18.0
395.0,5,36.0,2.0,12.068478401517467,5,36.0,0.4828088602967391,5,5,36.0
400.0,2,19.0,1.3571428571428572,11.061025363499814,2,17.0,0.5385129949940435,2,2,17.0
405.0,5,29.0,1.5263157894736843,5.8604150734307225,5,27.0,0.15197387667465534,5,5,27.0
410.0,1,2.0,0.1,8.21591092728566,1,2.0,0.4056580229058483,1,1,2.0
415.0,2,11.0,0.6111111111111112,14.240532234895007,2,11.0,0.6739813538368625,2,2,11.0
420.0,1,9.0,0.5,10.344309220524671,1,9.0,0.5078357917905486,1,1,9.0
425.0,2,14.0,0.5384615384615384,9.724216503859775,2,14.0,0.3967918570290392,2,2,14.0
430.0,1,5.0,0.21739130434782608,12.218500093145988,1,5.0,0.598798246179804,1,1,5.0
435.0,4,19.0,0.7916666666666666,10.23998746911425,4,19.0,0.43779417039680824,4,4,19.0
440.0,3,18.0,0.8571428571428571,7.957811032975532,3,18.0,0.37612736202086805,3,3,18.0
445.0,6,40.0,1.6666666666666667,8.555400761950077,6,40.0,0.30185997062271785,6,6,40.0
450.0,4,28.0,1.2173913043478262,6.541261431462178,4,22.0,0.33319128123532593,4,4,22.0
455.0,5,50.0,2.272727272727273,9.034754184587328,4,42.0,0.3650313452092772,4,4,42.0
460.0,5,42.0,2.210526315789474,9.425349297929738,4,35.0,0.48374062158377257,4,4,35.0
465.0,9,67.0,3.0454545454545454,6.774084840771647,8,55.0,0.2782606401738764,8,8,55.0
470.0,2,31.0,1.4761904761904763,8.142423966817054,1,14.0,0.4386740313806504,1,1,14.0
475.0,3,23.0,1.2777777777777777,11.971104685640887,3,23.0,0.46740236054805895,3,3,23.0
480.0,2,14.0,1.0,11.542896812716478,2,14.0,0.5271445353372743,2,2,14.0
485.0,4,24.0,1.3333333333333333,6.297709684276356,4,24.0,0.1854245654883172,4,4,24.0
490.0,2,0.0,0.0,7.243381657332043,2,0.0,0.3886393958412607,2,2,0.0
495.0,1,3.0,0.13636363636363635,14.889238776434809,1,3.0,0.7153010590843245,1,1,3.0
500.0,1,8.0,0.34782608695652173,13.16332711784961,1,8.0,0.5826877198748748,1,1,8.0
505.0,1,13.0,0.52,10.830441799793155,1,13.0,0.4593998846765579,1,1,13.0
510.0,3,11.0,0.4782608695652174,10.06991478079294,3,11.0,0.44394716649401306,3,3,11.0
515.0,7,34.0,1.36,7.203887283168182,7,34.0,0.2523154297181207,7,7,34.0
520.0,6,49.0,2.45,7.147506072264953,6,49.0,0.29382478671884216,6,6,49.0
525.0,6,68.0,3.4,8.334386732513908,6,68.0,0.3755821354318602,6,6,68.0
530.0,3,52.0,2.4761904761904763,7.289132842487807,3,46.0,0.37818643284000686,3,3,46.0
535.0,3,47.0,2.35,10.278968411008076,2,40.0,0.4211890632370148,2,2,40.0
540.0,4,66.0,4.125,10.756424643360829,3,54.0,0.5185435667294939,3,3,54.0
545.0,6,75.0,3.5714285714285716,6.7356528340846,6,69.0,0.23403780408691735,6,6,69.0
550.0,0,0.0,0.0,8.063378964584233,0,0.0,0.43203739740339714,0,0,0.0
555.0,2,4.0,0.2,14.060333424467506,2,4.0,0.6366639723837305,2,2,4.0
560.0,1,7.0,0.3888888888888889,13.972458225983637,1,7.0,0.626693255945512,1,1,7.0
565.0,4,14.0,0.6363636363636364,6.879983233971739,4,14.0,0.21544108159427175,4,4,14.0
570.0,3,9.0,0.391304347826087,7.38924904147493,3,9.0,0.37330280964041873,3,3,9.0
575.0,5,30.0,1.4285714285714286,12.165603660411069,5,30.0,0.5740061447425957,5,5,30.0
580.0,3,28.0,1.3333333333333333,8.930647355417593,3,28.0,0.46084899792581,3,3,28.0
585.0,3,43.0,1.72,9.356666082428122,3,43.0,0.4147175428575505,3,3,43.0
590.0,2,25.0,1.1363636363636365,10.186221812131661,2,25.0,0.5455146401791349,2,2,25.0
595.0,5,44.0,1.9130434782608696,7.926022425168958,5,44.0,0.29609628206996136,5,5,44.0
600.0,4,35.0,1.75,8.100797826537313,4,35.0,0.26108338138067505,4,4,35.0
605.0,7,45.0,1.875,7.848752793186821,7,45.0,0.2865796768426983,7,7,45.0
610.0,4,33.0,1.2692307692307692,8.123345061621352,3,29.0,0.4346006778584923,3,3,29.0
615.0,3,45.0,1.875,10.95248489701062,3,44.0,0.46723882003376027,3,3,44.0
620.0,3,27.0,1.35,10.828428526432258,3,27.0,0.48431175627255274,3,3,27.0
625.0,8,43.0,1.7916666666666667,6.5102442777633405,8,39.0,0.22588118322439715,8,8,39.0
630.0,3,18.0,0.8181818181818182,7.230050802143055,3,14.0,0.3994661628282591,3,3,14.0
635.0,5,37.0,1.9473684210526316,10.404287764069991,5,33.0,0.4525276055811935,5,5,33.0
640.0,3,24.0,1.411764705882353,10.642013940819771,3,24.0,0.41516769077122334,3,3,24.0
645.0,6,39.0,1.8571428571428572,7.111309974611404,6,39.0,0.18956574585738584,6,6,39.0
650.0,2,18.0,0.8571428571428571,7.981126852581339,2,18.0,0.40429164532105716,2,2,18.0
655.0,3,29.0,1.5263157894736843,13.588749856041533,3,29.0,0.6353894270312147,3,3,29.0
660.0,2,31.0,1.631578947368421,9.959935684131866,2,31.0,0.4721582739201499,2,2,31.0
665.0,3,41.0,1.5185185185185186,9.185955803673007,3,41.0,0.3586773984646622,3,3,41.0
670.0,3,7.0,0.2916666666666667,12.189004054105316,3,7.0,0.5157720511745651,3,3,7.0
675.0,4,18.0,0.72,10.01680694396339,4,18.0,0.42557985669722437,4,4,18.0
680.0,2,17.0,0.7727272727272727,8.763512832122963,2,17.0,0.37078970777169995,2,2,17.0
685.0,6,38.0,1.7272727272727273,7.973680878430474,6,38.0,0.30384933021778127,6,6,38.0
690.0,4,27.0,1.173913043478261,6.523995298986159,4,22.0,0.32740889335508266,4,4,22.0
695.0,5,49.0,2.227272727272727,9.091133949506384,4,42.0,0.3319811658527361,4,4,42.0
700.0,5,43.0,2.388888888888889,8.82706572336488,4,36.0,0.458538103930429,4,4,36.0
705.0,9,68.0,3.090909090909091,7.044189193860177,8,56.0,0.24712209832866178,8,8,56.0
710.0,2,30.0,1.4285714285714286,9.02193309461282,1,13.0,0.48030921422509826,1,1,13.0
715.0,3,22.0,1.2222222222222223,11.899242888562613,3,22.0,0.5720691256246582,3,3,22.0
720.0,1,7.0,0.5,12.505814585905915,1,7.0,0.5710717243411281,1,1,7.0
725.0,4,12.0,0.7058823529411765,6.13756127570427,4,12.0,0.17758888188116317,4,4,12.0
730.0,4,2.0,0.09090909090909091,7.042855529270321,4,2.0,0.3541322259982253,4,4,2.0
735.0,2,11.0,0.5238095238095238,14.158884012941899,2,11.0,0.644613112474199,2,2,11.0
740.0,1,9.0,0.4090909090909091,12.30967398959043,1,9.0,0.5843913269871064,1,1,9.0
745.0,1,14.0,0.5384615384615384,10.958641651333426,1,14.0,0.5121801350616213,1,1,14.0
750.0,1,4.0,0.17391304347826086,10.899947869124452,1,4.0,0.5125446516119782,1,1,4.0
755.0,5,19.0,0.8260869565217391,7.318076835117261,5,19.0,0.277969590645439,5,5,19.0
760.0,4,28.0,1.4,7.351792279612985,4,28.0,0.2917629266550392,4,4,28.0
