step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,0_queue_length,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0
5.0,3,0.0,0.0,3.453905610796574,3,0.0,0.15993735267295964,3,3,0.0
10.0,1,0.0,0.0,9.011368802951665,1,0.0,0.43491575147982464,1,1,0.0
15.0,0,0.0,0.0,15.944215185164463,0,0.0,0.7733314180026813,0,0,0.0
20.0,0,0.0,0.0,12.36071036066383,0,0.0,0.6369351209450304,0,0,0.0
25.0,0,0.0,0.0,11.227886964113615,0,0.0,0.5641288832317565,0,0,0.0
30.0,1,4.0,0.18181818181818182,10.416517183783144,1,4.0,0.5053965213390806,1,1,4.0
35.0,4,17.0,0.7391304347826086,7.886528201729909,4,17.0,0.30668006668146164,4,4,17.0
40.0,4,26.0,1.2380952380952381,7.862357889225236,4,26.0,0.2694349415156172,4,4,26.0
45.0,6,41.0,2.05,8.5612691510207,6,41.0,0.3433055565938438,6,6,41.0
50.0,3,29.0,1.380952380952381,6.9671374620360185,3,43.0,0.358262663406752,3,3,43.0
55.0,2,25.0,1.25,10.442022588890003,2,25.0,0.3742155134374985,2,2,25.0
60.0,2,21.0,1.4,10.59898308558323,2,21.0,0.6047497328867711,2,2,21.0
65.0,4,31.0,1.4090909090909092,8.80627994122919,4,31.0,0.3012334311139359,4,4,31.0
70.0,0,0.0,0.0,9.842749664432526,0,0.0,0.4906633694718599,0,0,0.0
75.0,0,0.0,0.0,15.67605779473307,0,0.0,0.7331686473671466,0,0,0.0
80.0,1,5.0,0.3125,14.782559520070002,1,5.0,0.6564939647015675,1,1,5.0
85.0,5,11.0,0.5238095238095238,7.54412022118088,5,11.0,0.20878562865544356,5,5,11.0
90.0,3,23.0,1.0952380952380953,7.334379795066778,3,23.0,0.3458135042014002,3,3,23.0
95.0,4,43.0,2.0476190476190474,12.511004047995394,4,43.0,0.5656667771591226,4,4,43.0
100.0,3,42.0,1.9090909090909092,9.328601142833103,3,42.0,0.457346054021054,3,3,42.0
105.0,3,57.0,2.28,9.378679892737747,3,57.0,0.36854435785427864,3,3,57.0
110.0,3,8.0,0.34782608695652173,11.179362586403677,3,8.0,0.48631022261688683,3,3,8.0
115.0,4,19.0,0.8636363636363636,8.206379292092674,4,19.0,0.24262589567017923,4,4,19.0
120.0,2,18.0,0.9473684210526315,9.356688433640292,2,12.0,0.3158707881120508,2,2,12.0
125.0,6,38.0,1.7272727272727273,8.132020340222997,6,32.0,0.3215517366569459,6,6,32.0
130.0,2,17.0,0.7391304347826086,8.118194436825204,2,17.0,0.4735977722197328,2,2,17.0
135.0,2,27.0,1.2272727272727273,11.532455436518214,2,27.0,0.5087414588745484,2,2,27.0
140.0,3,22.0,1.1578947368421053,11.68504353026502,3,22.0,0.5697117156641521,3,3,22.0
145.0,7,37.0,1.5416666666666667,7.67162590897794,7,37.0,0.25973381818730573,7,7,37.0
150.0,2,14.0,0.6363636363636364,9.49015501048769,2,14.0,0.4012781547635837,2,2,14.0
155.0,4,31.0,1.7222222222222223,11.1219850227832,4,31.0,0.47878802365635226,4,4,31.0
160.0,2,18.0,1.2,11.079793945561692,2,18.0,0.39790173476477986,2,2,18.0
165.0,5,28.0,1.4736842105263157,5.985267758248496,5,28.0,0.1785370039704695,5,5,28.0
170.0,1,2.0,0.1,7.663347318798445,1,2.0,0.43498916119314684,1,1,2.0
175.0,2,11.0,0.5789473684210527,13.735363431479637,2,11.0,0.6991689065253767,2,2,11.0
180.0,1,9.0,0.47368421052631576,11.014784023035611,1,9.0,0.5489539456151109,1,1,9.0
185.0,2,14.0,0.5384615384615384,9.768042006336014,2,14.0,0.41731928590542305,2,2,14.0
190.0,1,4.0,0.17391304347826086,12.712439360224602,1,4.0,0.580404349552378,1,1,4.0
195.0,4,17.0,0.7083333333333334,10.282070873715162,4,17.0,0.4422361307191988,4,4,17.0
200.0,3,18.0,0.9,8.939426397195923,3,18.0,0.38978226431784235,3,3,18.0
205.0,5,37.0,1.7619047619047619,8.093787281425458,5,37.0,0.31428489049609926,5,5,37.0
210.0,4,22.0,1.0,6.972135172038992,4,16.0,0.3829430380354321,4,4,16.0
215.0,3,36.0,1.7142857142857142,9.642865313774601,3,30.0,0.4236634046234589,3,3,30.0
220.0,3,19.0,1.1176470588235294,9.449101217381152,2,15.0,0.5381610256350364,2,2,15.0
225.0,8,38.0,1.8095238095238095,7.575163816631792,7,29.0,0.3044182578733864,7,7,29.0
230.0,2,23.0,1.15,10.337085334967348,1,9.0,0.5039104111991218,1,1,9.0
235.0,2,15.0,0.9375,12.030477822260309,2,15.0,0.5966787853492733,2,2,15.0
240.0,1,6.0,0.42857142857142855,12.359407740435582,1,5.0,0.51046798751304,1,1,5.0
245.0,4,11.0,0.6470588235294118,6.4925333200185005,4,10.0,0.1956388954102243,4,4,10.0
250.0,3,0.0,0.0,7.072630473051682,3,0.0,0.36710915718142456,3,3,0.0
255.0,1,2.0,0.09523809523809523,15.355698281974991,1,2.0,0.703228276160477,1,1,2.0
260.0,1,7.0,0.3181818181818182,13.153434079610765,1,7.0,0.5312281416102093,1,1,7.0
265.0,1,12.0,0.48,10.785732491560076,1,12.0,0.44159966091329855,1,1,12.0
270.0,3,10.0,0.45454545454545453,9.824443924959319,3,10.0,0.43844172963905415,3,3,10.0
275.0,6,30.0,1.25,6.6415816687681,6,30.0,0.22957964082912305,6,6,30.0
280.0,6,46.0,2.1904761904761907,6.2523049802389785,6,46.0,0.2295299410998146,6,6,46.0
285.0,8,74.0,3.3636363636363638,7.781417589977056,8,74.0,0.2862597305473047,8,8,74.0
290.0,5,68.0,2.9565217391304346,6.858842042855043,5,68.0,0.31725400376493446,5,5,68.0
295.0,4,73.0,3.3181818181818183,9.275346624709766,4,73.0,0.3423407081217148,4,4,73.0
300.0,5,46.0,2.875,8.844894629551574,4,43.0,0.46240396767494546,4,4,43.0
305.0,8,71.0,2.9583333333333335,6.618115972620292,7,63.0,0.2894621662596524,7,7,63.0
310.0,2,25.0,1.0416666666666667,8.763842045323386,1,43.0,0.43063856635693215,1,1,43.0
315.0,3,23.0,1.0454545454545454,12.898584165287922,3,23.0,0.6082288250370106,3,3,23.0
320.0,2,16.0,0.8888888888888888,11.757472338749851,2,18.0,0.49902237208741407,2,2,18.0
325.0,6,28.0,1.2727272727272727,6.112680824902004,6,28.0,0.19533250539701852,6,6,28.0
330.0,4,28.0,1.2173913043478262,7.490285209236582,4,28.0,0.35250917792579956,4,4,28.0
335.0,5,49.0,2.227272727272727,12.552349954062327,5,49.0,0.566782692620978,5,5,49.0
340.0,2,17.0,0.7727272727272727,9.040391750129935,2,17.0,0.38570496745607036,2,2,17.0
