step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,0_queue_length,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0
5.0,3,0.0,0.0,3.4791366241169905,3,0.0,0.1665782284061158,3,3,0.0
10.0,1,0.0,0.0,9.127790812154746,1,0.0,0.4340548058380034,1,1,0.0
15.0,0,0.0,0.0,16.80790576679683,0,0.0,0.7944483976802759,0,0,0.0
20.0,0,0.0,0.0,13.272356628687183,0,0.0,0.6058031975104827,0,0,0.0
25.0,0,0.0,0.0,11.2515927412487,0,0.0,0.503135062243331,0,0,0.0
30.0,2,7.0,0.3181818181818182,11.384925593892763,2,7.0,0.5535486529661182,2,2,7.0
35.0,5,23.0,1.0454545454545454,6.559424071692493,5,23.0,0.23307031794880373,5,5,23.0
40.0,6,37.0,1.7619047619047619,7.88198327963471,6,51.0,0.23383562286347712,6,6,51.0
45.0,6,57.0,2.7142857142857144,8.378363190145917,6,57.0,0.31218643522789324,6,6,57.0
50.0,4,46.0,2.090909090909091,6.238729433714874,4,40.0,0.34411593025603865,4,4,40.0
55.0,4,48.0,2.2857142857142856,9.006230163067235,3,40.0,0.3494947539571667,3,3,40.0
60.0,6,74.0,4.111111111111111,10.04224261624743,5,61.0,0.38983520754629664,5,5,61.0
65.0,7,92.0,4.181818181818182,6.458132674631314,7,86.0,0.21041446425594684,7,7,86.0
70.0,3,72.0,3.272727272727273,7.406250595961546,3,72.0,0.38945164525295733,3,3,72.0
75.0,5,92.0,4.181818181818182,12.017094828042547,5,92.0,0.5631455780638307,5,5,92.0
80.0,6,122.0,5.809523809523809,11.266874690589159,6,122.0,0.4470720968257966,6,6,122.0
85.0,4,35.0,1.4,4.779057215166097,4,35.0,0.19555302009114411,4,4,35.0
90.0,5,42.0,1.5555555555555556,7.617371828094648,4,38.0,0.32309525946734896,4,4,38.0
95.0,5,46.0,1.9166666666666667,10.271373105202068,4,37.0,0.5150628057341684,4,4,37.0
100.0,6,76.0,2.923076923076923,9.603140605015538,5,62.0,0.39629033936936403,5,5,62.0
105.0,5,73.0,2.8076923076923075,8.47198989254906,5,73.0,0.36819184008823785,5,5,73.0
110.0,6,99.0,4.304347826086956,9.70435692686288,6,99.0,0.3662415802247171,6,6,99.0
115.0,7,49.0,1.96,6.105322791527755,7,49.0,0.21112270575375008,7,7,49.0
120.0,5,67.0,2.9130434782608696,8.067029488091139,5,67.0,0.2509910525535264,5,5,67.0
125.0,6,63.0,2.52,8.135986475904438,6,63.0,0.36369678189282917,6,6,63.0
130.0,5,88.0,3.3846153846153846,9.568128617210643,5,88.0,0.4387030350489011,5,5,88.0
135.0,2,26.0,1.1818181818181819,10.932401953094491,2,26.0,0.5361734572053961,2,2,26.0
140.0,3,25.0,1.25,11.419957497612348,3,25.0,0.5036128573082843,3,3,25.0
145.0,5,8.0,0.36363636363636365,6.3286592578995515,5,8.0,0.23129556996505066,5,5,8.0
150.0,4,20.0,1.0,8.799449940742559,4,20.0,0.3910871306662725,4,4,20.0
155.0,4,21.0,1.105263157894737,10.790992941971806,3,19.0,0.531533127196121,3,3,19.0
160.0,4,39.0,2.2941176470588234,11.566413413876395,4,39.0,0.3353265958467648,4,4,39.0
165.0,4,31.0,1.7222222222222223,3.751499693574309,4,31.0,0.1671750264887379,4,4,31.0
