step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
285.0,5,129.0,18.428571428571427,3.6908198272875308,5,141.0,0.0,5,141.0,False,,
290.0,3,115.0,12.777777777777779,0.6160609308623557,3,127.0,0.0,3,127.0,False,,
295.0,3,130.0,14.444444444444445,8.411255398610349,3,142.0,0.0,3,142.0,False,,
300.0,3,145.0,20.714285714285715,11.609584549959408,3,157.0,0.0,3,157.0,False,,
305.0,3,160.0,14.545454545454545,8.358570400472614,3,172.0,0.31667751955624657,3,172.0,False,,
310.0,3,175.0,15.909090909090908,9.232641064282443,3,187.0,0.0968706457124543,3,187.0,False,,
315.0,5,196.0,19.6,7.9708026372022855,5,208.0,0.16736972091566502,5,208.0,False,,
320.0,4,213.0,21.3,3.963661145242137,4,225.0,0.10519648641923338,4,225.0,False,,
325.0,5,234.0,26.0,3.1809936084260246,5,246.0,0.006295037802814697,5,246.0,False,,
330.0,7,267.0,38.142857142857146,0.0,7,279.0,0.0,7,279.0,False,,
335.0,7,302.0,43.142857142857146,0.0,7,314.0,0.0,7,314.0,False,,
340.0,6,322.0,29.272727272727273,1.9059377598923959,6,334.0,0.0,6,334.0,False,,
345.0,6,352.0,32.0,6.817138043328538,6,364.0,0.0,6,364.0,False,,
350.0,5,359.0,35.9,7.728945391527992,5,371.0,0.0,5,371.0,False,,
355.0,5,384.0,38.4,6.351389887061658,5,396.0,0.23203343431372594,5,396.0,False,,
360.0,5,409.0,51.125,0.7967508798635697,5,421.0,0.039910068580657126,5,421.0,False,,
365.0,9,439.0,27.4375,2.0652589031721442,7,451.0,9.564368244782314e-06,7,451.0,False,,
370.0,7,474.0,29.625,8.33380147761817,7,486.0,0.0,7,486.0,False,,
375.0,7,509.0,33.93333333333333,10.191250477021198,7,521.0,0.0,7,521.0,False,,
380.0,7,544.0,36.266666666666666,6.281372350791089,7,556.0,0.13679183926515098,7,556.0,False,,
385.0,11,420.0,23.333333333333332,1.5312189466237385,7,420.0,0.019853361057792382,7,420.0,False,,
390.0,7,142.0,7.888888888888889,5.084832844366699,7,331.0,0.032254815992925304,7,331.0,False,,
395.0,6,144.0,8.0,7.392441267519358,6,333.0,0.01085391798931319,6,333.0,False,,
400.0,8,172.0,11.466666666666667,6.671905156291272,8,361.0,0.10432668557233261,8,361.0,False,,
405.0,6,100.0,7.142857142857143,4.1262978633891585,6,289.0,0.062373539553511735,6,289.0,False,,
410.0,5,63.0,5.7272727272727275,3.4119266570497326,5,269.0,0.04440370775144343,5,269.0,False,,
415.0,5,61.0,6.777777777777778,1.2708129699180322,5,293.0,0.009189138232635116,5,293.0,False,,
420.0,6,90.0,11.25,2.4722651115943943,6,296.0,0.0,6,296.0,False,,
425.0,6,120.0,10.909090909090908,4.2183115388299575,6,326.0,0.0,6,326.0,False,,
430.0,6,150.0,13.636363636363637,8.48143885560994,6,356.0,0.0,6,356.0,False,,
435.0,5,140.0,10.0,6.363168346653924,5,226.0,0.0,5,226.0,False,,
440.0,3,80.0,5.714285714285714,8.25437495870951,3,140.0,0.18339252748619,3,140.0,False,,
445.0,2,60.0,5.0,7.61010087864652,2,120.0,0.01980492742815242,2,120.0,False,,
450.0,5,82.0,7.454545454545454,6.553865947947372,5,142.0,0.162414317016258,5,142.0,False,,
455.0,3,57.0,5.7,3.6758398882065584,3,100.0,0.06239366309729213,3,100.0,False,,
460.0,3,30.0,3.75,4.1512309380671795,3,73.0,0.048339450117005404,3,73.0,False,,
465.0,4,50.0,7.142857142857143,4.826085112663455,4,91.0,0.0,4,91.0,False,,
470.0,4,70.0,17.5,0.0,4,111.0,0.0,4,111.0,False,,
475.0,3,60.0,15.0,0.2820095036018268,3,58.0,0.0,3,58.0,False,,
480.0,2,42.0,10.5,2.4126209587090885,2,27.0,0.0,2,27.0,False,,
485.0,3,25.0,2.272727272727273,3.7581747344718575,1,25.0,0.0,1,25.0,False,,
490.0,1,30.0,2.142857142857143,10.630714674848074,1,30.0,0.0,1,30.0,False,,
495.0,1,35.0,2.6923076923076925,16.53896267124174,1,35.0,0.27979354438646636,1,35.0,False,,
500.0,1,40.0,3.076923076923077,14.004155161409408,1,40.0,0.47844431985857766,1,40.0,False,,
505.0,1,2.0,0.16666666666666666,6.9008072992098555,1,46.0,0.22946981202446798,1,46.0,False,,
510.0,4,16.0,1.6,3.5546586660283603,4,16.0,0.05618233152075658,4,16.0,False,,
515.0,4,35.0,3.888888888888889,2.8961398916746104,4,35.0,0.0019352352241743247,4,35.0,False,,
520.0,5,60.0,8.571428571428571,3.211392891161434,5,60.0,0.0,5,60.0,False,,
525.0,5,85.0,17.0,0.0,5,85.0,0.0,5,85.0,False,,
530.0,5,110.0,12.222222222222221,0.3389194609512846,5,110.0,0.0,5,110.0,False,,
535.0,5,135.0,15.0,5.6252249067313205,5,135.0,0.0,5,135.0,False,,
540.0,4,135.0,15.0,8.753328440542564,4,159.0,0.010672453593471822,4,159.0,False,,
545.0,6,155.0,9.117647058823529,5.614324472537415,4,155.0,0.2000519233103745,4,155.0,False,,
550.0,2,90.0,5.294117647058823,9.362828006211439,2,134.0,0.11488276265823844,2,134.0,False,,
555.0,3,102.0,6.8,11.833977472705609,3,102.0,0.0036605107507580825,3,102.0,False,,
560.0,4,121.0,10.083333333333334,7.9401065168501335,4,121.0,0.21471517364175238,4,121.0,False,,
565.0,5,142.0,12.909090909090908,2.253617864770687,5,142.0,0.04527575662449988,5,142.0,False,,
570.0,9,177.0,16.09090909090909,1.4298468259353598,9,177.0,0.0018339917466516943,9,177.0,False,,
575.0,10,226.0,20.545454545454547,0.5089896170942386,10,226.0,0.0,10,226.0,False,,
580.0,8,249.0,16.6,2.701996418765146,8,249.0,0.0,8,249.0,False,,
585.0,8,289.0,20.642857142857142,6.916899716848162,8,289.0,0.0,8,289.0,False,,
590.0,7,308.0,23.692307692307693,7.744840246467076,7,308.0,0.0,7,308.0,False,,
595.0,7,343.0,28.583333333333332,5.196421478819126,7,343.0,0.18074889497799157,7,343.0,False,,
600.0,7,378.0,34.36363636363637,3.1573835822885954,7,378.0,0.008875776557449134,7,378.0,False,,
605.0,9,419.0,29.928571428571427,3.6432728555801748,9,419.0,0.0,9,419.0,False,,
610.0,9,464.0,35.69230769230769,5.6439853199701355,9,464.0,0.0,9,464.0,False,,
615.0,8,447.0,34.38461538461539,5.332218646171382,8,447.0,0.0,8,447.0,False,,
620.0,6,419.0,32.23076923076923,4.977394441235711,6,435.0,0.10012548638021695,6,435.0,False,,
625.0,10,329.0,23.5,0.749184412341922,6,345.0,0.00919027713944864,6,345.0,False,,
630.0,5,170.0,12.142857142857142,5.619513808576636,5,253.0,0.03711639051547682,5,253.0,False,,
635.0,4,185.0,15.416666666666666,6.8519156245541994,4,252.0,0.005365353171044565,4,252.0,False,,
640.0,6,213.0,19.363636363636363,7.1186019740661886,6,280.0,0.14357345955981585,6,280.0,False,,
645.0,5,154.0,15.4,3.420401833891156,5,221.0,0.11110508026188715,5,221.0,False,,
650.0,3,29.0,3.2222222222222223,2.3883246509332725,3,159.0,0.061228046723824966,3,159.0,False,,
655.0,4,48.0,5.333333333333333,4.297682997996638,4,115.0,0.03883187421531868,4,115.0,False,,
660.0,4,68.0,9.714285714285714,2.9642424227680224,4,135.0,0.01234672139591689,4,135.0,False,,
665.0,5,91.0,10.11111111111111,3.5396403266388963,5,158.0,1.4261494993998313e-05,5,158.0,False,,
670.0,4,97.0,10.777777777777779,8.276287516649838,4,164.0,0.0,4,164.0,False,,
675.0,4,117.0,9.0,7.507195343293318,4,184.0,0.0,4,184.0,False,,
680.0,3,119.0,9.916666666666666,8.031866371982254,3,186.0,0.13899496285182175,3,186.0,False,,
685.0,5,136.0,12.363636363636363,8.528132788520423,5,203.0,0.0012561416921249003,5,203.0,False,,
690.0,4,120.0,10.909090909090908,7.849658423581655,4,186.0,0.2439421032451317,4,186.0,False,,
695.0,4,140.0,17.5,3.663653709751488,4,206.0,0.04120218460895183,4,206.0,False,,
700.0,5,163.0,23.285714285714285,2.7166574362615563,5,229.0,4.290844867934913e-05,5,229.0,False,,
705.0,5,188.0,31.333333333333332,1.1648818418921458,5,254.0,0.0,5,254.0,False,,
710.0,4,138.0,27.6,0.23468986267119202,4,142.0,0.0,4,142.0,False,,
715.0,2,49.0,9.8,2.9275067027101573,2,75.0,0.0583750851277047,2,75.0,False,,
720.0,2,59.0,14.75,3.007253931488586,2,85.0,0.0015696263172170928,2,85.0,False,,
725.0,6,74.0,6.166666666666667,2.6981605582616326,3,100.0,0.0,3,100.0,False,,
730.0,2,10.0,0.5555555555555556,7.663706087651322,1,37.0,0.0,1,37.0,False,,
735.0,1,15.0,0.7894736842105263,14.788835420272585,1,42.0,0.49931599754157385,1,42.0,False,,
740.0,1,20.0,1.1764705882352942,14.130734089391474,1,47.0,0.36577157672213795,1,47.0,False,,
745.0,2,26.0,1.5294117647058822,10.510007735852952,2,53.0,0.22434210175457664,2,53.0,False,,
750.0,5,47.0,3.357142857142857,5.1279313384665075,5,74.0,0.06322384093827753,5,74.0,False,,
755.0,7,72.0,6.0,0.5332933101810501,7,107.0,0.0068191352577026045,7,107.0,False,,
760.0,8,109.0,9.083333333333334,2.9696764096040567,8,136.0,0.0,8,136.0,False,,
765.0,7,138.0,15.333333333333334,1.2435110845699393,7,165.0,0.0,7,165.0,False,,
770.0,6,158.0,12.153846153846153,2.770630436955282,6,185.0,0.0,6,185.0,False,,
775.0,5,133.0,11.083333333333334,6.558865925872097,5,133.0,0.0,5,133.0,False,,
