step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,3,0.0,0.0,3.478345040212407,0,0.0,1.0,0,0.0,False,,
10.0,1,0.0,0.0,9.02330773030745,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,16.303692002555493,0,0.0,1.0,0,0.0,False,,
20.0,0,0.0,0.0,15.155854140421887,0,0.0,0.48669765434079776,0,0.0,False,,
25.0,0,0.0,0.0,9.970464613450865,0,0.0,0.2968289120463809,0,0.0,False,,
30.0,3,9.0,0.6428571428571429,6.271610034163788,3,9.0,0.11330209144721334,3,9.0,False,,
35.0,5,27.0,2.25,3.2202235265927803,5,27.0,0.005011217942420524,5,27.0,False,,
40.0,6,56.0,5.6,3.882849723184549,6,48.0,0.0,6,48.0,False,,
45.0,4,53.0,6.625,3.7501860965820235,4,46.0,0.0,4,46.0,False,,
50.0,3,59.0,5.9,3.0454104608937267,3,52.0,0.0,3,52.0,False,,
55.0,1,22.0,2.4444444444444446,8.703234575508782,1,22.0,0.0,1,22.0,False,,
60.0,0,0.0,0.0,14.647812966613605,0,0.0,1.0,0,0.0,False,,
65.0,0,0.0,0.0,11.419410660399425,0,0.0,1.0090262004368968,0,0.0,False,,
70.0,0,0.0,0.0,13.641687299145715,0,0.0,0.1471342489417094,0,0.0,False,,
75.0,1,2.0,0.2857142857142857,12.671641632213525,1,2.0,0.0003311879920903509,1,2.0,False,,
80.0,1,7.0,1.1666666666666667,7.925084404057043,1,7.0,0.2991995798058693,1,7.0,False,,
85.0,2,13.0,2.6,4.786058489602746,2,13.0,0.004826383101047854,2,13.0,False,,
90.0,2,23.0,5.75,3.221560678540162,2,23.0,0.0,2,23.0,False,,
95.0,2,33.0,11.0,4.425670221667292,2,33.0,0.0,2,33.0,False,,
100.0,1,27.0,4.5,3.5378909112294803,1,27.0,0.0,1,27.0,False,,
105.0,1,32.0,5.333333333333333,12.202981550887008,1,32.0,0.0,1,32.0,False,,
110.0,0,0.0,0.0,14.984762064089796,0,0.0,1.0,0,0.0,False,,
